0,1,2
Garissa Animal Health,,Garissa Public Health
,Refugees,
Organizations Garissa,,Organizations Garissa
,Community leaders,
(cid:129) PDVS,,(cid:129) UNCHR
(cid:129) DVO,,(cid:129) UNICEF
(cid:129) FAO,Community/,(cid:129) CDC
(cid:129) NGO,livestock keepers/,(cid:129) Private Pharmacy
(cid:129) CBAHWs,pastoralists,(cid:129) NGO
(cid:129) Drug Shops,,(cid:129) APHIA II
(cid:129) KLMC / DMLC,,(cid:129) CHWs
(cid:129) Local Government,,(cid:129) DMO-MS/PHS
(cid:129) DAO & DLPO,,"(cid:129) PDMO-MS, PHS"
,,(cid:129) WHO
,Milk traders,
