0,1,2,3,4,5,6,7,8,9,10
HBoV,BAT 25,BAT 26,APC,D17s250,D2s123,D13s153,BAT 40,Mycl,D18s58,D10s197
(+ tonsillar tumor,,,,,,,,,,
1,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
2,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
3,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
4,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
5,wt,instable,wt,wt,instable,instable,wt,wt,instable,wt
6,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
7,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
8,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
9,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
10,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
11,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
12,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
13,wt,wt,wt,instable,instable,wt,wt,wt,wt,wt
14,wt,wt,wt,wt,wt,wt,wt,instable,wt,wt
15,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
16,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
17,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
18,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
19,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
20,wt,wt,wt,wt,wt,instable,wt,wt,wt,wt
21,wt,wt,wt,wt,wt,wt,wt,wt,wt,wt
"wt, wild type.",,,,,,,,,,
