0,1,2
,"Table 2. Laboratory	results	for	68	cadet	nasal	wash	specimens,",
,"US	Air	Force	Academy,	Colorado,	USA,	August	2013–May	2014",
,,No.	(%)	positive
,Cadets with,Cadets without
,"pneumonia,","pneumonia,"
Bacteria or virus,n = 15,n	=	53
Chlamydophila pneumonia,11	(73),19	(36)
Influenza	A(H1N1)	virus,1	(7),8	(15)
Adenovirus,0,2	(4)
Rhinovirus/enterovirus,0,1	(2)
Coronavirus,0,1	(2)
Human	metapneumovirus,0,1	(2)
Parainfluenza	viruses	1–4,0,0
Respiratory	syncytial	virus,0,0
Bordetella pertussis,0,0
Mycoplasma pneumoniae,0,0
