0,1,2,3,4,5,6,7,8,9,10,11,12
,Table 4. Niclosamide analogs attenuate hepatic steatosis in high fat diet fed mice. 20-week old HFD-fed mice were delivered vehicle or compound daily at 10mg/kg by,,,,,,,,,,,
I.P for 12 days. Body weight measurements and scoring of greasy coat phenotype were performed prior to and following treatment. Histological analysis of H&E stained,,,,,,,,,,,,
liver sections were analyzed and the % of steatosis and steatosis score are reported.,,,,,,,,,,,,
Compound,Concentration (ug/Well),,,,,,Mean Revertant Colony Counts,,,,,
,,,TA98,,TA-100,,TA-1535,,,TA-1537,,WP2 uvrA (pKM101)
,,S9-,,SP9+,S9-,SP9+,S9-,SP9+,S9-,SP9+,S9-,SP9+
Niclosamide,1.5,1.5,,52.0,9.3,19.3,-,3.3,-,1.7,17.3,36.7
,4,-,,108.3,-,36.7,-,3.7,-,2.0,20.7,44.0
,10,-,,-,-,23.3,-,-,-,0.7,19.3,34.0
,25,-,,-,-,2.3,-,-,-,-,14.7,31.7
,64,-,,-,-,-,-,-,-,-,22.7,27.0
,160,-,,-,-,-,-,-,-,-,17.7,24.7
,400,-,,-,-,-,-,-,-,-,17.7,14.7
,1000,-,,-,-,-,-,-,-,-,14.0,14.7
Controls,Solvent,4.3,,8.0,31.0,18.8,3.5,2.8,1.5,2.2,22.7,33.3
,Positive Control,210.0,,290.7,133.7,93.7,103.3,24.0,72.3,11.0,328.0,345.3
600453,1.5,4.3,,5.0,35.0,17.3,4.0,2.7,0.7,2.3,31.7,36.0
,4,3.7,,8.3,30.0,21.3,3.7,3.7,1.3,3.3,20.7,35.0
,10,3.3,,7.7,33.3,27.0,1.7,2.7,2.3,1.7,29.3,31.7
,25,3.0,,6.3,24.0,34.0,2.7,2.3,1.3,1.7,15.7,33.3
,64,6.0,,8.7,26.3,31.7,1.7,3.0,0.3,1.0,23.0,28.0
,160,3.7,,6.3,21.3,24.3,4.0,3.3,0.0,3.3,20.0,23.0
,400,2.0,,7.3,8.0,29.3,2.7,2.0,1.0,0.7,9.0,15.3
,1000,3.7,,4.0,2.7,15.7,2.7,2.0,0.3,3.7,3.7,9.0
Controls,Solvent,5.0,,7.5,34.0,22.7,3.5,2.7,2.8,1.5,26.8,35.0
,Positive Control,210.0,,290.7,133.7,93.7,103.3,24.0,73.0,11.0,328.0,345.3
500200,1.5,9.0,,7.7,32.3,18.7,-,-,-,-,-,-
,4,12.0,,6.3,25.7,19.7,-,-,-,-,-,-
,10,8.7,,9.0,26.7,22.0,-,-,-,-,-,-
,25,9.0,,7.3,28.0,22.0,-,-,-,-,-,-
,64,7.7,,9.0,26.3,20.3,-,-,-,-,-,-
,160,5.0,,11.0,24.0,27.7,-,-,-,-,-,-
,400,9.7,,7.0,29.7,18.3,-,-,-,-,-,-
,1000,4.3,,4.3,16.3,8.0,-,-,-,-,-,-
Controls,Solvent,6.7,,8.2,32.5,20.5,,,,,,
,Positive Control,258.7,,640.0,120.0,69.7,,,,,,
600494,1.5,7.3,,8.7,30.0,20.7,-,-,-,-,-,-
,4,7.7,,9.3,27.0,17.3,-,-,-,-,-,-
,10,7.3,,7.7,25.0,18.0,-,-,-,-,-,-
,25,6.7,,12.0,24.0,22.0,-,-,-,-,-,-
,64,6.0,,8.0,33.0,16.3,-,-,-,-,-,-
,160,11.7,,15.7,25.7,21.0,-,-,-,-,-,-
,400,14.0,,10.3,22.3,21.3,-,-,-,-,-,-
,1000,10.7,,11.3,17.7,20.3,-,-,-,-,-,-
Controls,Solvent,6.7,,10.0,29.0,18.5,,,,,,
,Positive Control,258.7,,640.0,120.0,69.7,,,,,,
,,,,,,,,,,,,(Continued )
