0,1,2,3,4,5,6,7
,,,Table 1. Cont.,,,,
,,Days,,,GenBank Accession Numbers,,
,Years of,,,,,,
IBV Isolates,,,Locations a,,,,
,Isolation,of Age,,,,,
,,,,S1,N,M,E
GX-NN150019,2015,20,Nanning,MK887049,MK887118,MK887095,MK887072
GX-QZ150024,2015,13,Qinzhou,MK887057,MK887126,MK887103,MK887080
GX-YL150028,2015,20,Yulin,MK887060,MK887129,MK887106,MK887083
GX-LZ150619,2015,19,Liuzhou,MK887046,MK887115,MK887092,MK887069
GX-YL150727,2015,73,Yulin,MK887061,MK887130,MK887107,MK887084
GX-LZ160322,2016,10,Liuzhou,MK887047,MK887116,MK887093,MK887070
GX-YL161022,2016,15,Yulin,MK887063,MK887132,MK887109,MK887086
GX-YL161015,2016,100,Yulin,MK887062,MK887131,MK887108,MK887085
HN-170502,2017,90,Hainan,MK887045,MK887114,MK887091,MK887068
GX-LZ170609,2017,43,Liuzhou,MK887048,MK887117,MK887094,MK887071
GX-YL170717,2017,105,Yulin,MK887064,MK887133,MK887110,MK887087
GX-YL170718,2017,24,Yulin,MK887065,MK887134,MK887111,MK887088
GX-QZ170728,2017,194,Qinzhou,MK887058,MK887127,MK887104,MK887081
GX-YL170805,2017,24,Yulin,MK887066,MK887135,MK887112,MK887089
GX-YL170808,2017,140,Yulin,MK887067,MK887136,MK887113,MK887090
GX-NN170502,2017,118,Nanning,MK887050,MK887119,MK887096,MK887073
GX-NN170829,2017,27,Nanning,MK887052,MK887121,MK887098,MK887075
GX-NN170825,2017,11,Nanning,MK887051,MK887120,MK887097,MK887074
GX-QZ171023,2017,9,Qinzhou,MK887059,MK887128,MK887105,MK887082
GX-NN170901,2017,20,Nanning,MK887053,MK887122,MK887099,MK887076
GX-NN171108,2017,52,Nanning,MK887054,MK887123,MK887100,MK887077
GX-NN171123,2017,60,Nanning,MK887055,MK887124,MK887101,MK887078
GX-NN171125,2017,42,Nanning,MK887056,MK887125,MK887102,MK887079
,,N/A data not available; a Area where the viruses were isolated.,,,,,
