0,1,2,3,4,5,6,7
,,,Enoxaparin,,,Tinzaparin,
,0 IU/ml,0.5 IU/ml,1.0 IU/ml,1.5 IU/ml,0.5 IU/ml,1.0 IU/ml,1.5 IU/ml
ROTEM,,,,,,,
CT (seconds),175 ± 38,191 ± 89*,214 ± 109,249 ± 94*,223 ± 53*,289 ± 84*,326 ± 125*
CFT (seconds),77 ± 23,87 ± 21,85 ± 16,83 ± 22,74 ± 27,84 ± 45,80 ± 21
Angle (°),75 ± 4,74 ± 4,75 ± 3,74 ± 4,75 ± 5,73 ± 5,73 ± 4
MCF (mm),62 ± 5,61 ± 7,63 ± 5,63 ± 6,68 ± 7*,64 ± 8,65 ± 6*
MCL (%),8 ± 4,6 ± 3+,5 ± 4,2 ± 5*,5 ± 4*,6 ± 4,2 ± 4*
ReoRox,,,,,,,
COT1 (seconds),30 ± 5,35 ± 7*,39 ± 8*,38 ± 11*,36 ± 4*,45 ± 9*,48 ± 15*
COT2 (seconds),65 ± 11,76 ± 13*,82 ± 14*,85 ± 20*,74 ± 5*,91 ± 16*,108 ± 29*
COT2 – COT1 (seconds),34 ± 10,41 ± 8*,43 ± 9*,46 ± 10*,37 ± 4,46 ± 11*,51 ± 15*
Data presented as median (SD). *P <0.05 compared with 0 IU/ml LMWH.,,,,,,,
