0,1,2,3,4,5,6,7,8
,,,,,,,,Effects of Mind-Body Training on Psychological State
"Table 1. Differences in KOSS scale scores for the MBT and control groups at baseline, 4 weeks and 8 weeks.",,,,,,,,
,,MBT group(M±SD),,,Control group(M±SD),,Group difference in mean change from,p
,,,,,,,two levels (95% CI),
,Baseline,4-week,8-week,Baseline,4-week,8-week,,
Physical Environment,44.44,45.24,45.77,44.20,46.67,46.42,"4 week: -1.68(-6.67,3.32)",0.507
,±17.70,±15.98,±15.56,±15.98,±15.46,±15.40,,
,,,,,,,"8 week: -0.90(-6.43,4.63)",0.747
Job Demand,52.88,55.75,55.75,54.81,56.67,56.11,"4 week: 1.03(-3.22,5.27)",0.632
,±20.93,±16.44,±16.02,±12.40,±13.97,±14.20,,
,,,,,,,"8 week: 1.58(-3.19,6.35)",0.512
Insufﬁcient Job,55.40,55.56,54.76,57.93±2.13,56.44,54.81,"4 week: 1.64(-3.00,6.29)",0.485
Control,±12.96,±10.69,±11.92,,±11.06,±9.84,,
,,,,,,,"8 week: 2.48(-2.49,7.44)",0.324
Job Insecurity,50.00,49.21,47.09,53.46,53.33,51.98,"4 week: -0.67(-6.53,5.19)",0.821
,±14.04,±14.96,±13.40,±14.71,±13.21,±14.99,,
,,,,,,,"8 week: -1.43(-7.33,4.47)",0.632
Interpersonal Conﬂict,42.46,38.29,41.47,32.96,34.63,32.96,"4 week: -5.83(-11.39,-0.28)",0.040
,±16.55,±14.14,±12.41,±11.37,±11.78,±8.70,,
,,,,,,,"8 week: -0.99(-6.72, 4.73)",0.731
Organizational,64.51,59.75,62.24,57.67,55.56,54.60,"4 week: -2.65(-7.92, 2.63)",0.321
System,±16.37,±15.25,±14.40,±12.73,±9.30,±10.82,,
,,,,,,,"8 week: 0.80(-4.72, 6.33)",0.774
Lack of Reward,56.48,52.78,53.70,51.98,52.72,51.85,"4 week: -4.44(-9.08, 0.19)",0.060
,±15.99,±10.71,±11.22,±12.66,±10.37,±12.76,,
,,,,,,,"8 week: -2.65(-8.11, 2.81)",0.336
Occupational Climate,46.63,45.44,48.41,36.11,38.52,39.44,"4 week: -3.60(-10.17,2.97)",0.279
,±16.47,±15.20,±17.19,±17.59,±14.47,±13.58,,
,,,,,,,"8 week: -1.55(-8.25,5.15)",0.647
Occupational Stress,51.60±7.76,50.25,51.15,48.64±7.25,49.32,48.52,"4 week: -2.03(-4.24,0.19)",0.073
(total),,±6.87,±7.57,,±7.91,±7.64,,
,,,,,,,"8 week: -0.33(-3.08,2.42)",0.810
,"p: p-value, KOSS: Korean Occupational Stress Scale, CI: Conﬁdence Interval",,,,,,,
doi:10.1371/journal.pone.0159841.t001,,,,,,,,
