0,1,2,3
vARIABlES,CASES (N = 102),vARIABlES,CASES (N = 102)
"Categorical variables, No. (%)",,Hypoxemiab,0 (0)
Pneumonia WHO,32 (31.7),,39 (38.6)
,,CRP >50 mg/la,
Tachycardiaa,20 (19.8),,
,,leucocytosis,48 (46.2)
Tachypnoeaa,33 (32.7),,
,,Antibioticsc,83 (90.2)
Symptoms,,•Amoxicillin,23 (25.0)
•Rhinitis,90 (88.2),•Augmentin,8 (8.7)
•Cough,89 (87.3),•Cephalosporin,35 (38.0)
•Thoracic pain,40 (39.2),•Macrolide,5 (5.4)
•Throat pain,15 (14.7),•Fluoroquinolone,1 (1.1)
•Chest indrawings,6 (5.9),Bronchodilators,28 (30.8)
•Otitis,2 (2.0),Antihistamines,66 (72.5)
•vomiting,31 (30.4),Antipyretics,59 (64.1)
•Diarrhoea,21 (20.6),Steroids,6 (6.6)
Abnormal lung sounds,52 (51.0),Symptom free after 1 weekd,32 (78.1)
•Rhonchi,41 (40.2),,
,,"Continuous variables, mean (±SD)",
•Crepitations,6 (5.9),,
,,CRP,
,,,47.2 (±41)
•Wheezing,8 (7.9),,
,,leucocytes,
,,,11 527.8 (±5654.5)
•Difference right/left,5 (4.9),,
,,,"Abbreviations: CRP, C-reactive protein; WHO, World Health Organization."
