0,1,2,3,4,5,6
Table 2.,Epidemiological,and clinical,,,,
characteristics of adult outpatients with ILI,,in,,,,
,,,,Population,Virus negative,Virus positive
Argentina,,,,,,
,,,Characteristics,(n = 151),(n = 96),(n = 55)
,,,Male sex,60 (40%),43 (45%),18 (33%)
,,,Age (years),36Æ6 (SD 13Æ6),,
,,,"Time to consult
(hours)",43 (SD 20),46 (SD 20),40 (SD 21)
,,,Immunocompromised individuals,14 (9%),11 (7%),2 (1%)
,,,"Vaccination for
inﬂuenza",12 (8%),10 (7%),2 (4%)
,,,Signs and symptoms,,,
,,,Fever,151 (100%),96 (100%),55 (100%)
,,,Pharyngeal pain,99 (65%),62 (64%),37 (67%)
,,,Cough,137 (90%),82 (85%),55 (100%)
,,,Nasal discharge,127 (84%),77 (80%),50 (90%)
,,,Headache,87 (58%),53 (55%),32 (58%)
,,,Myalgias,102 (68%),64 (67%),38 (69%)
,,,Postration,112 (74%),71 (73%),41 (75%)
,,,Malaise,124 (82%),77 (80%),47 (85%)
,,,Chills,82 (54%),46 (48%),36 (65%)
