0,1,2,3,4,5,6,7,8
Taylor et al,,,,,,,,
,Table 1A Survey logistic modelling of extremely/very willing to receive vaccination: unadjusted and adjusted odds ratios (OR),,,,,,,
Independent variable,,Extremely/very willing to receive vaccination,,,,,,
,Unadjusted,,,,Adjusted,,,
,OR,95% CI,,P value,OR,95% CI,,P value
Gender,,,,,,,,
Male,1.00,–,–,–,–,–,–,–
Female,0.92,0.69,1.23,0.565,–,–,–,–
Location (deﬁ ned by health region),,,,,,,,
Urban,1.00,–,–,–,–,–,–,–
Rural,1.19,0.91,1.56,0.197,–,–,–,–
High psychological distress (K10 ? 22),,,,,,,,
No,1.00,–,–,–,–,–,–,–
Yes,0.92,0.53,1.60,0.774,–,–,–,–
Age,,,,,,,,
16–24,1.00,–,–,–,1.00,–,–,–
25–34,1.27,0.70,2.30,0.435,0.87,0.41,1.82,0.705
35–44,1.86,1.06,3.28,0.031,0.98,0.49,1.97,0.958
45–54,1.70,1.00,2.88,0.049,1.26,0.63,2.49,0.514
55–64,1.52,0.91,2.54,0.112,1.40,0.71,2.77,0.328
65–74,2.15,1.27,3.63,0.004,2.83,1.39,5.77,0.004
75+,1.38,0.80,2.39,0.252,1.59,0.74,3.40,0.232
Children in household,,,,,,,,
No,1.00,–,–,–,1.00,–,–,–
Yes,1.57,1.11,2.21,0.011,1.67,1.10,2.54,0.017
Born in Australia,,,,,,,,
No,1.00,–,–,–,–,–,–,–
Yes,1.26,0.90,1.76,0.175,–,–,–,–
Speak language other than English,,,,,,,,
No,1.00,–,–,–,–,–,–,–
Yes,0.62,0.41,0.95,0.026,–,–,–,–
Living alone,,,,,,,,
No,1.00,–,–,–,–,–,–,–
Yes,0.85,0.64,1.11,0.234,–,–,–,–
Highest formal qualiﬁ cation,,,,,,,,
University degree/equivalent,1.00,–,–,–,–,–,–,–
TAFE certiﬁ cate/Diploma,0.71,0.47,1.09,0.116,–,–,–,–
High school certiﬁ cate,0.66,0.41,1.06,0.086,–,–,–,–
School certiﬁ cate,0.60,0.40,0.90,0.013,–,–,–,–
None,0.80,0.48,1.34,0.402,–,–,–,–
Employed (paid or unpaid),,,,,,,,
No,1.00,–,–,–,–,–,–,–
Yes,1.09,0.82,1.45,0.569,–,–,–,–
Household income (before tax),,,,,,,,
(cid:2)A$20k,1.00,–,–,–,1.00,–,–,–
A$20–40k,1.07,0.69,1.67,0.750,1.13,0.71,1.80,0.600
A$40–60k,0.95,0.60,1.50,0.814,1.17,0.69,1.97,0.560
A$60–80k,1.52,0.85,2.73,0.161,1.92,1.02,3.64,0.045
(cid:4)A$80k,1.77,1.13,2.76,0.013,2.24,1.30,3.87,0.004
,,,,,,,,(Continued)
