0,1,2,3,4,5,6
Table 5  Top ten authors publishing on carbapenem resistance (1986–2015),,,,,,
SCRa,Author,Number of published articles,Color (number of cluster),Total citation (R),h-index (R),Country
1st,Nordmann,95,Blue (3),5545 (1),36 (1),Switzerland/France
2nd,Poirel,71,Blue (3),4129 (4),32 (3),Switzerland/France
3rd,Carmeli,47,Green (2),2449 (5),26 (5),Israel
4th,Woodford,44,Red (1),5083 (3),32 (3),United Kingdom
5th,Livermore,40,Red (1),5420 (2),33 (2),United Kingdom
6th,Tsakris,36,Red (1),1075 (9),18 (8),Greece
7th,Bonomo,35,Green (2),1038 (10),18 (8),United States
8th,Rossolini,35,Red (1),2010 (6),19 (7),Italy
9th,Lee,35,Red (1),1708 (7),17 (10),South Korea
10th,Navon‑Venezia,30,Green (2),1533 (8),21 (6),Israel
"R rank, SCR standard competition ranking",,,,,,
