0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Virus
RSV (non-typed)","Total
527","Singleinfections
397","Doubleinfections
128","Tripleinfections
2","Mixedinfection(%)
25.0","RSV(non-typed)
–","RSV-A
0","RSV-B
0","hMPV(non-typed)
18","hMPV-A2
1","hMPV-B1
1","hMPV-B2
1","Flu-H1N1
23","Flu-H3N2
68","Flu-B
20"
RSV-A,176,158,18,0,10.2,0,–,13,1,0,1,0,1,2,0
RSV-B,321,293,27,1,8.7,0,13,–,3,1,1,0,2,6,3
hMPV (non-typed),186,161,22,3,13.4,18,1,3,–,0,0,0,1,3,2
hMPV-A2,26,24,2,0,7.7,1,0,1,0,–,0,0,0,0,0
hMPV-B1,98,93,5,0,5.1,1,1,1,0,0,–,0,1,0,1
hMPV-B2,8,7,1,0,12.5,1,0,0,0,0,0,–,0,0,0
Flu-H1N1,349,321,28,0,8.0,23,1,2,1,0,1,0,–,0,0
Flu-H3N2,815,738,75,2,9.4,68,2,6,3,0,0,0,0,–,0
Flu-B,364,338,24,1,6.9,20,0,3,2,0,1,0,0,0,–
