0,1,2,3,4,5,6,7,8,9,10
Table,2.,The,inhibitory,effect,of ursolic,acid against,the,growth,and the proliferation,of
T. gondii-infected cells.,,,,,,,,,,
,,,,,,,,The Survival Rate (%) of,,
,Infection Ratio of,,,,,Concentrations,,,,
,,,,,,,,T. gondii-Infected Cells,,
,,,,Incubation Time,,,,,,
,T. gondii (MOI),,,,,(µg/mL),,,,
,,,,,,,,Ursolic Acid (UA),Sulfadiazine (SF),
,,,,,,0,,100.00 ± 2.28,100.00 ± 3.46,
,,,,,,25,,92.35 ± 2.74,94.26 ± 1.82,
,Cells:T. gondii = 1:5,,,24 h,,50,,85.52 ± 1.55,91.35 ± 1.64,
,,,,,,100,,67.61 ± 1.87,77.58 ± 3.45,
,,,,,,200,,38.42 ± 3.12,60.45 ± 1.68,
,T. gondii-infected cells were incubated with different concentrations (25–200 µg/mL) of ursolic acid (UA) and,,,,,,,,,
