0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
RSVB,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,
RSVA,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,–
FLUCV,2,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,,–,–
FLUBV,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,–,–,–
FLUAðH1N1Þ2009,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,–,–,–,–
FLUAV(cid:2),–,–,–,–,–,–,–,–,–,–,–,–,2,,–,–,–,–,–
*,,,,,,,,,,,,,,,,,,,
,,,2,–,2,2,1,–,–,1,3,2,,–,–,–,–,–,–
HRV,17,15,,,,,,,,,,,,,,,,,
hMPV,–,–,–,–,–,–,–,–,–,–,–,,2,–,–,–,–,–,–
HPIV-4,–,–,–,–,–,–,–,–,–,–,,–,–,–,–,–,–,–,–
HPIV-3,–,1,–,–,–,–,–,–,–,,–,–,–,–,–,–,–,–,–
HPIV-2,–,–,–,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–
HPIV-1,–,–,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
HEV,2,1,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–,–
HCoV-HKU1,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–,–,–
HCoV-OC43,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HCoV-229E,–,–,–,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HCoV-NL63,–,1,,–,–,–,–,–,–,–,–,–,6,–,–,–,–,–,–
HBoV1,–,,6,–,–,–,–,–,–,–,–,–,6,–,–,–,–,–,–
HAdV,,–,–,–,–,–,–,–,–,–,–,2,2,–,–,–,–,–,–
