0,1,2,3
Table 1. Receptor usage and distribution of different koala retrovirus (KoRV) and gibbon ape leukaemia,,,
virus (GaLV).,,,
Viruses,Receptor Usage,Distribution,Reference
,,Australia,"[34,35]"
,,Japanese Zoos,"[37,38]"
KoRV-A,Pit-1,,
,,German Zoos,[39]
,,San Diego Zoos,[40]
,,Los Angeles Zoos,[40]
,,Japanese Zoos,[41]
KoRV-B,THTR1,,
,,European Zoos,[42]
,,Australian wild-living,
,,,[43]
,,koalas,
,,Gibbons; various,
GaLV,Pit-1,"locations, cell culture",[16–29]
,,contaminations,
,THTR1: thiamine transport protein 1; Pit-1: phosphate transporter 1.,,
