0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,R1,,NH,,,R2,,,,,
,,,,,,O,,,,,,,
,,,,2,OH,,,,,,,,
,,,,,,MIC [𝜇g/mL],,,,,,MBC [𝜇g/mL],
Comp.,R1,R2,R3,,,,,,,,,,
,,,,1,,2,3,,4,1,2,3,4
1a,5-Cl,4-CH3,(S)-CH3,>256,,>256,>256,,>256,>256,>256,>256,>256
1b,5-Cl,4-CH3,(S)-CH(CH3)2,>256,,>256,32,,32,>256,>256,128,>256
1c,5-Cl,4-CH3,(S)-benzyl,>256,,>256,>256,,>256,>256,>256,>256,>256
1d,5-Cl,4-CH3,(R)-CH2-indolyl,>256,,>256,>256,,>256,>256,>256,>256,>256
1e,5-Cl,4-OCH3,(S)-CH(CH3)2,>256,,>256,>256,,>256,>256,>256,>256,>256
1f,5-Cl,4-CF3,(S)-CH(CH3)2,4,,2,2,,2,4,4,8,4
1g,4-Cl,4-Br,(S)-CH(CH3)2,8,,4,4,,4,16,8,8,8
1h,4-Cl,"3,4-Cl",(S)-CH(CH3)2,2,,1,1,,1,4,1,4,2
1i,4-Cl,"3,4-Cl",(S)-benzyl,1,,1,0.5,,0.5,8,1,8,1
AMP,—,—,—,>16,,>16,>16,,0.25,>16,>16,>16,0.25
CPX,—,—,—,>16,,>16,>16,,0.5,>16,>16,>16,0.5
VAN,—,—,—,2,,1,1,,1,2,1,1,1
