0,1,2,3,4
,Table 3. Dynamic changes in the avian influenza (AI) antibody titer in all groups.,,,
,,,Days after the Immunization,
Group,,,,
,7,14,21,28
SPPL,3.0 ± 0.27 b,5.6 ± 0.18 b,7.8 ± 0.25 b,"7.9 ± 0.30 b, c"
SPPM,4.0 ± 0.27 a,6.4 ± 0.32 a,8.8 ± 0.16 a,8.9 ± 0.23 a
SPPH,3.1 ± 0.30 b,6.5 ± 0.19 a,7.9 ± 0.30 b,8.1 ± 0.23 b
OA,3.0 ± 0.76 b,5.5 ± 0.27 b,7.0 ± 0.27 c,7.3 ± 0.25 c
BC,2.9 ± 0.23 b,2.8 ± 0.16 c,2.1 ± 0.30 d,2.0 ± 0.27 d
The  data  on  the  same  day  (columns)  marked  without  the  same  superscript  lowercase  letters  (a–d)  differ,,,,
