0,1,2,3,4,5
,,,Viral,Infection in Hospital-Acquired Pneumonia,
Table 3. Microbiological diagnosis of,,respiratory viruses in hospital-acquired pneumonia.,,,
,,BAL fluid ±,,,
,,,endotracheal,,Nasopharyngeal
,Total no. of Patients,aspirate,,specimen only,
Virusa,,,,,
,"(n = 59)
(%)",(n = 41),(%),(n = 18),(%)
Respiratory syncytial virus,16 (27.1),9 (22.0),,7 (38.9),
Type A,11 (18.6),6 (14.6),,5 (27.8),
Type B,5 (8.5),3 (7.3),,2 (11.1),
Parainfluenza virus,16 (27.1),12 (29.3),,4 (22.2),
Type 3,15 (25.4),11 (26.8),,4 (22.2),
Type 1,2 (3.4),2 (4.9),,0,
Rhinovirus,15 (25.4),12 (29.3),,3 (16.7),
Influenza virus,10 (16.9),8 (19.5),,2 (11.1),
Influenza A,9 (15.3),7 (17.1),,2 (11.1),
Influenza B,1 (1.7),1 (2.4),,0,
Cytomegalovirus,5 (8.5),5 (12.2),,0,
Human coronavirus,4 (6.8),4 (9.8),,0,
Human coronavirus OC43,2 (3.4),2 (4.9),,0,
Human coronavirus 229E/NL63,2 (3.4),2 (4.9),,0,
Bocavirus,2 (3.4),1 (2.4),,1 (5.6),
Human metapneumovirus,2 (3.4),1 (2.4),,1 (5.6),
Adenovirus,1 (1.7),1 (2.4),,0,
"BAL = bronchoalveolar
lavage.",,,,,
,aSome cases were associated with two or more pathogens; two viruses were identified in eight patients and three viruses in two patients.,,,,
doi:10.1371/journal.pone.0095865.t003,,,,,
