0,1,2,3
,Table 1. High Capability Severe Acute Respiratory Failure Center Characteristics.,,
,,High Volume Mechanical Ventilation,
,ECMO Criteriaa (n = 148),Criteriab (n = 447),All Acute Care Hospitals (n = 4822)
"Number of hospital beds, median (IQRc)",501 (336 to 740),489 (380 to 652),101 (36 to 227)
"Number of
ICUd beds, median (IQR)",64 (42 to 95),54 (39 to 76),8 (2 to 22)
"Region, n (%)",,,
Northeast,37 (25),109 (24),600 (12)
Midwest,41 (28),100 (22),1423 (30)
South,44 (30),175 (39),1853 (38)
West,26 (18),63 (14),946 (20)
"Urbancity, n (%)",,,
Division (.2.5 million persons),40 (27),131 (29),687 (14)
Metropolitan (50Ke–2.5 million),106 (72),309 (69),2068 (43)
Micropolitan (10K–50K),2 (1),5 (1),872 (18)
"Rural
(,10K)",0,2 (1),1195 (24)
"Teaching status, n (%)",,,
Large teaching,73 (49),148 (33),355 (7)
"Small
teaching",34 (23),141 (32),910 (19)
Non-teaching,41 (28),158 (35),3557 (74)
"Financial status, n (%)",,,
Nonprofit,112 (76),356 (80),2745 (57)
For profit,11 (7),41 (9),784 (16)
Government,25 (17),50 (11),1293 (27)
