0,1,2,3
"Table Ill. Seroconversion (4-fold or greater) to BVDV types 1 and 2, PI-3V, and BRSV from",,,
day 0 to day 33 in 104 surviving calves,,,
,Dilutions,indicating seroconversiona,
BVDV type 1,BVDV type 2,PI-3V,BRSV
"ob
8 (3)c","0
8 (5)",0 -8 (6),0- 8 (11)
"0
16 (4)","0
16 (8)",0 -16 (15),0 -16 (18)
"0
32 (10)","0
32 (5)",0 -32 (19),"0
32 (20)"
"0
64 (8)","0
64 (4)","0
64 (16)","0
64 (12)"
"0
128 (2)","0
128 (1)","0
128 (2)","0
128 (1)"
"0
256 (5)","0
1024 (2)","0
256 (2)","0
512 (1)"
"0
512 (2)","0
2048 (1)","0
512 (1)","4
16 (4)"
0 -+1024 (1),0 -4096 (1),"4
16 (3)","4
32 (3)"
"0
2048 (1)","16
512 (1)",4 -64 (1),"4
64 (4)"
"0
4096 (1)","16
1024 (1)",8 -64 (1),"4
1024 (1)"
"4
16 (1)",,8 -+256 (1),"8
32 (1)"
"4
+32 (1)",,16-64 (1),"8
1024 (2)"
"8
8192 (1)",,"16
128 (2)","16
64 (1)"
,,"32
512 (1)","16
128 (1)"
