0,1,2,3,4,5,6
"Table
3.",Comparison of different,,expression platforms,for,the production of pharmaceuticals,
,"(modiﬁed from Spök and Karner 2008 [41], European Communities).",,,,,
,Transgenic,Plant Cell,,,Mammalian,Transgenic
Comparisons,,,Bacteria,Yeast,,
,Plant,Culture,,,Cell Culture,Animals
Overall cost,Very low,Medium,Low,Medium,High,High
Scale-up capacity,Very high,Medium,High,High,Very low,Low
Production scale,Worldwide,Limited,Limited,Limited,Limited,Limited
Protein yield,High,High,Medium,High,Medium-High,High
Protein folding accuracy,High,High,Low,Medium,High,High
,Minor,Minor,,,,
Glycosylation,,,None,Incorrect,Correct,Correct
,differences,differences,,,,
Product quality,High,High,Low,Medium,High,High
,,,,,"Virus, Prions,","Virus, Prions,"
Contamination risks,Low,Low,Endotoxins,Low,,
,,,,,oncogenic DNA,oncogenic DNA
Safety,High,Non-speciﬁc,Low,Unknown,Medium,High
Storage cost,Inexpensive,Moderate,Moderate,Moderate,Expensive,Expensive
