0,1,2,3
,,,3
Table 1. Summary of major research findings,,,
Author and year of,Major finding related to,Major finding related to clinical,Major finding related to
publication (ref.),epidemiology and transmission,features and Diagnosis,therapeutic options
"CDC, 1999 (8,9)",First  outbreak  report  of  Nipah.,Serology  is  cross  reactive  to,--
,Transmission to pig abattoir workers.,Hendra.,
"Reynes et al, 2005 (4);",Presence of NiV in bats.,--,--
Wacharapluesadee et al. 2005 (5),,,
"Mounts et al, 2001 (13)",No human to human and nosocomial,--,--
,transmission for the Malaysian strain,,
,of NiV causing Malaysia-Singapore,,
,outbreaks.,,
"Goh et al, 2000 (19)",--,Predominantly  neurological,--
,,symptoms  and  no  significant,
,,r e s p i r a t o r y   s y m p t o m s   i n,
,,Malaysian strain of NiV.,
"Chadha et al, 2006 (17);",Strong evidence of human to human,S i g n i f i c a n t   r e s p i r a t o r y,--
"Arunkumar et al, 2018 (53)",transmission  for  the  Bangladesh,involvement leading to ARDS in,
,strain of NiV causing Bangladeshi,Bangladesh strain of NiV.,
,and Indian outbreaks.,,
"Luby et al, 2006 (14);",D a t e   p a l m   s a p   c o n s u m p t i o n,--,--
"Rahaman et al, 2012 (15)",contaminated  by  bat  excreta  and,,
,saliva is a significant risk factor for,,
,transmission.,,
"Chong et al, 2001 (33)",--,Serology  is  cross  reactive  to,Ribavirin  can  substantially  reduce
,,Hendra.,m o r t a l i t y   ( 3 6 % )   w i t h o u t   a n y
,,,significant adverse reactions.
"Wright et al, 2005 (29);",--,--,In vitro activity of ribavirin on halting
"Aljofan et al, 2009 (30)",,,the replication of NiV in cell cultures.
"Bossart et al, 2009 (38);",--,--,Role of monoclonal antibody m102.4
"Bossart et al, 2011 (39)",,,in preventing transmission and halting
,,,disease  progression  among  animal
,,,model  of  ferrets  and African  green
,,,monkey.
"Dawes et al, 2018 (40)",--,Respiratory  involvement  and,Promising  role  of  favipiravir  in
,,higher mortality in Bangladesh,protecting  NiV  infected  animals
,,"strain,  compared  to  Malaysia",(hamster model).
,,strain.,
