0,1,2
,,Social Capital and Behavioral Intentions in an Influenza Pandemic
,"Table 3. Association between social capital, sociodemographic factors, risk perception, and the in-",
tention to wear a face mask.,,
Variables,OR (95% CI)a,AOR (95% CI)b
Sociodemographic factors and risk perception,,
Gender,,
Female,1,1
Male,0.67 (0.47–0.94)*,0.53 (0.36–0.78)**
Age,,
20–34,1,1
35–49,0.84 (0.50–1.42),0.77 (0.43–1.40)
50–64,0.72 (0.44–1.18),0.82 (0.43–1.60)
(cid:1) 65,0.25 (0.16–0.41)**,0.38 (0.19–0.74)**
Monthly household income,,
"< NT$50,000",1,1
"NT$50,000–89,999",1.91 (1.20–3.03)**,1.07 (0.63–1.77)
"NT$90,000–179,999",2.49 (1.45–4.30)**,1.21 (0.65–2.23)
"(cid:1) NT$180,000",1.17 (0.76–1.82),0.90 (0.56–1.45)
Missing,3.83 (1.17–12.56)*,1.63 (0.47–5.67)
Education,,
High school graduates,1,1
Some college,2.26 (1.50–3.42)**,1.79 (1.09–2.93)**
College graduates,5.07 (3.30–7.79)**,4.04 (2.29–7.12)**
Marital status,,
Others,1,1
Married,1.13 (0.80–1.59),1.55 (1.01–2.36)*
Locality,,
Urban,1,1
Suburban,0.73 (0.51–1.07),0.75 (0.50–1.13)
Rural,0.53 (0.32–0.86)*,0.64 (0.38–1.12)
Self-rated health,,
Poor,1,1
Good,0.99 (0.70–1.40),0.73 (0.50–1.07)
Perceived susceptibility,,
Low,1,1
High,3.53 (1.78–7.01)**,3.07 (1.51–6.21)**
Perceived severity,,
Low,1,1
High,2.41 (1.58–3.68)**,2.27 (1.42–3.64)**
Bonding social capital,,
