0,1,2,3,4,5,6,7,8,9,10,11,12
2,+,+,+,+,+,+,+,+,+,+,+,+
3,+,+,+,+,+,+,+,+,+,+,+,+
4,+,+,+,+,+,+,+,+,+,+,+,+
5,n.a.,n.a.,+,+,+,+,n.a.,n.a.,+,+,+,+
6,n.a.,n.a.,+,+,+,+,n.a.,n.a.,+,+,+,+
7,n.a.,n.a.,+,+,(+)´,-,n.a.,n.a.,+,(+)´,+,(+)´
8,n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,(+)´,-,-
"9,11,14,18,22",n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,-,-
28,n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,-,-
29,n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,-,+
"30,31,32,33,34",n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,-,-
35,n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,+,+
"36,37,39,42,46,50,56",n.a.,n.a.,-,-,-,-,n.a.,n.a.,-,-,-,-
,Group 1 pigs (1–6) were inoculated post inoculation (PID) 0 with A/swine/Denmark/19126/1993 (H1N1) and reinoculated PID 28 with A/swine/Denmark/10074/,,,,,,,,,,,
