0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Shin Ahn et al,,,,,,,,,,,,,,,,,,,
"Diff.
20",6,12,11,4,8,17,37,5,1,,5,,1,7,11,,3,,"152
4"
"2008a
CDC
4",0,0,0,0,4,0,0,0,2,,0,,0,0,4,,0,,"14
0"
"KFDA
24",6,12,11,4,12,17,37,5,3,,5,,1,7,15,,3,,"166
4"
"Diff.
46",28,18,43,8,17,26,113,40,8,,13,,32,37,38,,13,,"488
8"
"2007
CDC
2",0,0,2,0,8,1,2,1,1,,0,,2,1,1,,0,,"22
1"
"KFDA
48",28,18,45,8,25,27,115,41,9,,13,,34,38,39,,13,,"510
9"
"Diff.
58",3,9,36,6,2,7,50,23,0,,8,,5,9,9,,3,,"233
5"
"2006
CDC
3",0,0,3,0,7,0,2,1,2,,0,,1,3,2,,1,,"26
1"
"KFDA
61",3,9,39,6,9,7,52,24,2,,8,,6,12,11,,4,,"259
6"
"Diff.
16",4,4,7,3,4,3,9,4,3,,1,,1,13,-1,,1,,"73
1"
"2005
CDC
7",0,2,2,0,3,0,5,2,1,,3,,4,0,4,,1,,"36
2"
"KFDA
23",4,6,9,3,7,3,14,6,4,,4,,5,13,3,,2,,"109
3"
"Diff.
-8",7,4,-9,7,-24,7,34,5,4,,10,,1,15,10,,4,,"-11
56"
"2004
CDC
27",0,3,11,0,34,0,0,1,1,,0,,5,0,4,,3,,"20
109"
"KFDA
19",7,7,2,7,10,7,34,6,5,,10,,6,15,14,,7,,"165
9"
"Diff.
10",5,1,1,2,-5,2,8,-1,3,,5,,1,6,1,,13,,"60
KFDA: the Korea food and drug administration, CDC: the Korean centers for disease control and prevention, Diff.: difference.
8"
"2003
CDC
24",0,9,4,0,15,0,6,2,0,,1,,6,0,4,,3,,"75
1"
"KFDA
34",5,10,5,2,10,2,14,1,3,,6,,7,6,5,,16,,"135
9"
"Table 2. The number of mass food poisoning cases in different districts
Diff.
-20",-1,-2,-5,1,-8,0,-2,-1,1,,-4,,-3,-2,1,,8,,"-3
-40"
"2002
CDC
24",2,3,6,0,9,1,12,3,0,,8,,4,3,1,,4,,"84
4"
"KFDA
4",1,1,1,1,1,1,10,2,1,Chung cheong,4,Chungcheong,1,1,2,Gyeongsang,12,Gyeongsang,"44
aData was calculated until July, 2008. 
1"
"Seoul
180
www.e-hir.org",Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Gyeonggi,Gangwon,North,,South,,North-Jeolla,South-Jeolla,North,,South,,"Jeju
Total
doi: 10.4258/hir.2010.16.3.177"
