0,1,2,3,4,5,6,7,8,9,10,11,12,13
PLOS ONE,,Table 4. Respiratory viruses co-infections in HIV-infected children hospitalized with lower,,,,,,respiratory tract,infections.,,,,
,,hBoV,WUPyV,KIPyV,CoV-NL63,CoV-HKU1,CoV-OC43,hRV,RSV4,hMPV5,PIV4,Influenza A4,Adenovirus4
,Positive samples1,49 (9.5),44 (8.5),46 (8.9),9 (1.7),7 (1.4),63 (12.2),164 (31.7),32 (6.2),17 (3.3),14 (2.7),13 (2.5),4 (0.77)
| www.plosone.org,Single infections2,15 (30.6),16 (36.4),11 (23.9),0,4 (57.1),27 (42.9),83 (50.6),20 (62.5),6 (35.3),8 (57.1),4 (30.8),3 (75.0)
,Co-infections with3:,,,,,,,,,,,,
,hBoV,-,3 (6.8),4 (8.7),0,0,8 (12.7),18 (11.0),3 (9.4),3 (17.6),1 (7.1),1 (7.7),0
,WUPyV,3 (6.1),-,7 (15.2),1 (11.1),2 (28.6),4 (6.3),19 (11.6),3 (9.4),2 (11.8),0,1 (7.7),0
,KIPyV,4 (8.2),7 (15.9),-,2 (22.2),1 (14.3),5 (7.9),24 (14.6),5 (15.6),3 (17.6),1 (7.1),0,0
,CoV-NL63,0,1 (2.3),2 (4.3),-,0,1 (1.6),6 (3.7),0,1 (5.9),0,0,0
,CoV-HKU1,0,2 (4.5),1 (2.2),0,-,0,0,0,0,0,0,0
,CoV-OC43,8 (16.3),4 (9.1),5 (10.9),1 (11.1),0,-,18 (11.0),1 (3.1),2 (11.8),3 (21.4),4 (30.8),0
,hRV,18 (36.7),19 (43.2),24 (52.2),6 (66.7),0,18 (28.6),-,8 (25.0),6 (35.3),2 (14.3),6 (46.2),1 (25.0)
,RSV4,3 (6.1),3 (6.8),5 (10.9),0,0,1 (1.6),8 (4.9),-,0,0,0,0
,hMPV5,3 (6.1),2 (4.5),3 (6.5),1 (11.1),0,2 (3.2),6 (3.7),0,-,0,0,0
,PIV4,1 (2.0),0,1 (2.2),0,0,3 (4.8),2 (1.2),0,0,-,0,0
,Influenza A4,1 (2.0),1 (2.3),0,0,0,4 (6.3),6 (3.7),0,0,0,-,0
,Adenovirus4,0,0,0,0,0,0,1 (0.6),0,0,0,0,0
8,,,,,,,,,,,,,
,1 viruses6,28 (57.1),17 (38.6),21 (45.7),7 (77.8),3 (42.9),27 (42.9),58 (35.4),7 (21.9),5 (29.4),5 (35.7),7 (53.8),1 (25.0)
,2 viruses6,5 (10.2),8 (18.2),11 (23.9),2 (22.2),0,8 (12.7),19 (11.6),2 (6.3),6 (35.3),1 (7.1),1 (7.7),0
,3 viruses6,1 (2.0),3 (6.8),3 (6.5),0,0,1 (1.6),4 (2.4),3 (9.4),0,0,1 (7.7),0
,Bacteraemia7,3 (6.4),3 (7.0),7 (15.2),2 (25.0),0,6 (10.2),11 (7.1),0,2 (12.5),1 (7.7),2 (18.2),1 (25.0)
