0,1,2,3,4
,,,,Reference Genes for Human Cartilage Endplate
,Table 3. Ranking of candidate reference genes in order of,,their expression stability as calculated by BestKeeper.,
Rank,Total,Modic type I changes,Modic type II changes,Modic type III changes
1,SDHA,SDHA,SDHA,SDHA
CV6SD,2.61460.776,2.44160.720,2.59360.765,2.92860.869
2,ACTB,LDHA,TBP,TBP
CV6SD,2.75760.884,2.49760.646,2.71460.851,2.95560.934
3,TBP,IPO8,ACTB,IPO8
CV6SD,2.77060.870,2.74560.860,2.88760.924,2.97460.935
4,IPO8,GUSB,GUSB,GUSB
CV6SD,2.79760.883,2.76060.866,3.05860.959,3.01760.949
5,GUSB,TBP,IPO8,ACTB
CV6SD,3.01360.952,2.76260.863,3.12760.985,3.11460.996
6,GAPDH,ACTB,B2M,LDHA
CV6SD,3.01960.894,2.86860.910,3.29160.824,3.41560.892
7,B2M,HMBS,GAPDH,GAPDH
CV6SD,3.31860.839,3.03060.735,3.29960.972,3.51761.032
8,LDHA,B2M,LDHA,B2M
CV6SD,3.32960.875,3.12960.783,3.38060.884,3.68760.928
9,HMBS,GAPDH,HPRT1,HMBS
CV6SD,3.89960.952,3.53860.910,3.61160.990,3.97960.971
10,HPRT1,HPRT1,HMBS,18S
CV6SD,4.82761.349,3.78261.045,3.67260.887,4.93860.994
11,RPL13A,RPL13A,RPL13A,HPRT1
CV6SD,5.43561.554,3.96461.104,4.03961.154,5.05461.408
12,18S,18S,18S,RPL13A
CV6SD,5.55361.121,4.20160.822,4.50560.907,5.36661.536
doi:10.1371/journal.pone.0088892.t003,,,,
