0,1,2,3,4,5,6
Table 1.,Characteristics of Patients Hospitalized With Respiratory Symptoms by Age Group,,,,,
,,2011–2012,,,2012–2013,
,18–64 y,≥65 y,Overall,18–64 y,≥65 y,Overall
Characteristic,n = 116,n = 170,N = 286,n = 92,n = 304,N = 396
Male sex,65 (56),87 (51),152 (53),41 (45),136 (45),177 (45)a
Underlying medical conditionb,88 (76),159 (94)c,247 (86),71 (77),268 (88)d,339 (86)
Admitted with fever and cough or sore throate,83 (72),111 (65),194 (68),55 (60),166 (54),221 (56)a
Days of symptoms prior to specimen collection,,,,,,
≤4,68 (59),97 (57),165 (58),45 (49),134 (44)d,179 (45)a
5–7,24 (21),39 (23),63 (22),15 (16),54 (18),69 (17)
≥8,24 (21),30 (18),54 (19),30 (33),64 (21),94 (24)
"Seasonal
influenza vaccine",,,,,,
Yes,48 (41),120 (71)c,168 (59),30 (33),172 (57)d,202 (51)a
No,67 (58),48 (28),115 (40),57 (62),109 (36),166 (42)
Pneumoniaf,41 (35),73 (43),114 (40),35 (40),116 (38),151 (39)
Antibiotics received,102 (88),159 (94),261 (91),77 (84),273 (90),350 (88)
Antiviral received,15 (13),18 (11),33 (12),41 (45),160 (53),201 (51)a
"LOS, d, median (range)",3 (1–58),5 (1–55),4 (1–58),4 (0–33),6 (0–48),6 (0–48)a
"ICU admission, %",25 (22),17 (10)c,42 (15),20 (22),21 (7)d,41 (10)
"ICU LOS, d, median (range)",3 (1–36),4 (0–22),3 (0–36),5 (0–26),5 (0–14)d,5 (0–26)
