0,1,2,3
Table 1. Characteristics of respondents (n=522),,,
,Vaccination,"status
in
the
pre-",
,vious inﬂuenza season,,
,Vaccinated,Unvaccinated,
Characteristic,n (%),n (%),P
Gender,,,0.093
Male,30 (16.3),33 (10.7),
Female,154 (83.7),276 (89.3),
Age (yr),,,0.644
20–29,50 (27.2),71 (23.1),
30–39,71 (38.6),119 (38.6),
40–49,48 (26.1),85 (27.6),
o50,15 (8.1),33 (10.7),
Education,,,0.426
Higher education diploma,68 (37.4),137 (45.1),
Bachelor degree,86 (47.3),131 (43.1),
Postgraduate diploma,5 (2.7),7 (2.3),
Masters,7 (3.8),12 (3.9),
Others,16 (8.8),17 (5.6),
Work place,,,0.255
Hospital,150 (82.4),253 (83.0),
Community,26 (14.3),48 (15.7),
Both,6 (3.3),3 (1.0),
University,0 (0),1 (0.3),
Speciality,,,0.503
Medicine,73 (40.6),124 (41.0),
Mental health,9 (5.0),25 (8.3),
Surgery,38 (21.1),79 (26.2),
The elderly,8 (4.4),11 (3.6),
Paediatrics,18 (10.0),22 (7.3),
Maternity,8 (4.4),11 (3.6),
Primary care,19 (10.6),21 (7.0),
Ambulatory care,7 (3.9),9 (3.0),
Direct patient contact,,,1.000
Yes,177 (96.7),293 (96.4),
No,6 (3.3),11 (3.6),
