0,1,2,3,4,5,6,7,8,9
,,,,Table 5: Comparison of the values of C-indexes.,,,,,
,,CD8+ T cell,CD4+ T cell,NK cell,Treg cell,,,,
,,,,,,NLR,PLR,PI,mGPS
,,variation,variation,variation,variation,,,,
,,0.816,0.698,0.755,0.764,0.632,0.670,0.675,0.693
OS,value,,,,,,,,
,,(0.711-0.921),(0.554-0.842),(0.619-0.891),(0.636-0.892),(0.446-0.818),(0.484-0.856),(0.478-0.872),(0.525-0.861)
CD8+ T cell variation,P value,,0.008,0.162,0.210,0.011,0.007,0.068,0.103
CD4+ T cell variation,P value,0.008,,0.188,0.164,0.275,0.365,0.409,0.482
NK cell variation,P value,0.162,0.188,,0.452,0.112,0.113,0.235,0.281
Treg cell variation,P value,0.210,0.164,0.452,,0.081,0.086,0.212,0.252
NLR,P value,0.011,0.275,0.112,0.081,,0.343,0.349,0.265
PLR,P value,0.007,0.365,0.113,0.086,0.343,,0.485,0.415
PI,P value,0.068,0.409,0.235,0.212,0.349,0.485,,0.425
mGPS,P value,0.103,0.482,0.281,0.252,0.265,0.415,0.425,
,,0.639,0.520,0.541,0.614,0.661,0.563,0.505,0.475
PFS,value,,,,,,,,
,,(0.523-0.755),(0.381-0.659),(0.407-0.675),(0.485-0.743),(0.579-0.743),(0.436-0.690),(0.382-0.628),(0.365-0.585)
CD8+ T cell variation,P value,,0.081,0.084,0.368,0.376,0.116,0.020,0.006
CD4+ T cell variation,P value,0.081,,0.407,0.148,0.013,0.298,0.423,0.260
NK cell variation,P value,0.084,0.407,,0.207,0.023,0.399,0.309,0.200
Treg cell variation,P value,0.368,0.148,0.207,,0.264,0.219,0.083,0.014
NLR,P value,0.376,0.013,0.023,0.264,,0.055,0.002,0.001
PLR,P value,0.116,0.298,0.399,0.219,0.055,,0.257,0.078
PI,P value,0.020,0.423,0.309,0.083,0.002,0.257,,0.327
mGPS,P value,0.006,0.260,0.200,0.014,0.001,0.078,0.327,
Abbreviations as in Table 3,,,,,,,,,
