0,1,2,3
displayed sensitivity to proteolysis by digestive enzymes with a consequent loss of toxicity [125].,,,
,Table 2. Receptors of plant lectins of different insects.,,
Lectin,Receptor,Insect,Reference
Allium sativum L. bulbs,Aminopeptidase N Sucrase,Acyrthosiphon pisum,[126]
(ASAI and ASAII),,,
Galantus nivalis lectin,Ferritin,Nilaparvata lunges,[127]
,,Spodoptera littoralis,[128]
Myracrodruon urundeuva,Trypsin α-amylase,Aedes aegypti,[129]
leaf lectin (MuLL),,,
Bauhinia monandra leaf,α-amylase,Callosobruchus,[117]
lectin (BmoLL),,maculatus,
Concanavalin A,β-glucosidases,Rhopalosiphum padi L.,[130]
,cathepsin L,,
Allium sativum Leaf,(Nicotinamide adenine,Brown planthopper,[131]
Agglutinin (ASAL),dinucleotide reduced) quinone,,
,oxidoreductase,,
Colocasia esculenta tuber,Vacuolar ATP synthase,Lipaphis erysimi,[122]
agglutinin (CEA),ATP synthase,,
,Heat shock protein 70 clathrin,,
,heavy chain,,
,Sarcoplasmic endoplasmic,Bemisia tabaci,[122]
,reticulum typ Ca2+ATPase,,
PF2 lectin,α-amylase,Zabrotes subfasciatus,[132]
,V-type proton ATPase,,
,Arginine kinase,,
,Prohibitin,,
,Polyubiquitin,,
,Actin,,
,ATP-dependent RNA helicase,,
,ATP synthase subunit alpha,,
,Mitochondrial-processing,,
,peptidase,,[133]
,α-tubulin,,
,Odorant receptor,,
,Cytochrome c oxidase,,
Allium sativum lectin,Aminopeptidase,Helicoverpa,[134]
,Cadherin-N,Armigera,
,Polycalin,,
,Alkaline phosphatase,,
,Cytochrome P450,,
,Alanyl,Acyrthosiphon,[134]
,Aminopeptidase N,Pisum,
,Sucrase,,
