0,1,2,3,4,5,6,7,8,9,10,11,12,13
TA B L E   3  Diagnostic sensitivity. Comparison of triplicate testing of ten -fold dilutions of four avian influenza virus H7N9 strains in H7,,,,,,,,,,,,,
CODA protocol and H7 CNIC protocol in real-time RT-PCR and in H7 and N9 insulated isothermal RT-PCR,,,,,,,,,,,,,
,,,RRT‐PCR (Ct value),,,,,,"iiRT‐PCR (1: positive, 0: negative)",,,,
Virus strain,Virus dilution,H7 CODA,,,H7 CNIC,,,H7,,,N9,,
A/Anhui/1/2013 (Index virus,−3,28.4,28.1,28.4,28.2,28.7,29.0,1,1,1,1,1,1
of 2013),,,,,,,,,,,,,
,−4,31.8,31.5,31.7,32.5,32.7,32.3,1,1,1,1,1,1
,−5,35.6,35.6,35.1,34.9,37.6,37.1,1,1,1,1,1,0
,−6,37.4,neg,neg,36.7,37.5,neg,1,1,1,1,1,0
,−7,neg,neg,neg,neg,neg,neg,1,0,0,0,0,0
,−8,neg,neg,neg,neg,neg,neg,0,0,0,0,0,0
A/Ck/GZ/1273/2017 (Pearl,−3,26.0,26.0,26.3,32.7,32.9,33.1,1,1,1,1,1,1
river lineage),,,,,,,,,,,,,
,−4,27.1,30.3,28.9,36.5,35.4,37.1,1,1,1,1,1,1
,−5,31.5,32.9,33.4,37.4,38.5,neg,1,1,1,1,1,0
,−6,35.6,36.3,36.8,neg,neg,neg,1,1,1,1,0,0
,−7,38.0,37.3,neg,neg,neg,neg,1,1,0,0,0,0
,−8,neg,neg,neg,neg,neg,neg,0,0,0,0,0,0
A/Ck/ST/2969/2017,−3,26.0,26.8,26.3,30.7,30.2,30.9,1,1,1,1,1,1
(Yangtze river lineage),,,,,,,,,,,,,
,−4,29.2,28.9,29.0,33.1,33.1,33.6,1,1,1,1,1,1
,−5,32.9,33.2,33.0,36.1,36.2,36.3,1,1,1,1,1,1
,−6,35.2,36.7,35.5,neg,neg,neg,1,1,1,1,0,0
,−7,neg,neg,neg,neg,neg,neg,1,1,0,0,0,0
,−8,neg,neg,neg,neg,neg,neg,0,0,0,0,0,0
A/GD/17SF003/2017,−3,25.6,25.6,25.7,30.8,30.9,30.6,1,1,1,1,1,1
(Highly pathogenic),,,,,,,,,,,,,
,−4,28.9,28.9,28.8,33.5,34.6,34.8,1,1,1,1,1,1
,−5,32.6,32.7,32.0,37.7,37.3,neg,1,1,1,1,1,1
,−6,34.5,35.3,35.7,neg,neg,neg,1,1,1,0,0,0
,−7,neg,neg,neg,neg,neg,neg,0,0,0,0,0,0
,−8,neg,neg,neg,neg,neg,neg,0,0,0,0,0,0
