0,1,2,3,4,5,6,7,8,9
Table 5 Clinical symptoms and diagnosis results from infected patients,,,,,,,,,
virus,number,fever,cough,throat,difficulty breathing,lung auscultation,abnormal X ray,diagnose result,
,,,,,,,,pneumonia,bronchitis
RSV,41,41(100),32(78.05),18(43.90),6(14.63),25(60.98),15(36.59),31(75.61),4(9.75)
IVA,48,47(97.92),38(79.17),20(41.67),13(27.08),35(72.92),21(43.75),30(62.5),8(16.67)
HRV,26,26(100.00),19(73.08),13(50.00),9(34.62),8(30.77),7(26.92),18(69.23),3(11.54)
PIV,47,43(91.49),36(76.60),19(40.43),15(31.91),27(57.45),22(46.81),34(72.34),4(8.51)
ADV,38,34(89.47),28(73.68),16(42.11),8(21.05),16(42.11),1(2.63),22(57.89),7(18.42)
IVB,30,30(100.00),26(86.67),8(26.67),5(16.67),10(33.33),7(23.33),13(43.33),13(43.33)
HCoV,22,22(100.00),21(95.45),10(45.45),5(22.73),15(68.18),10(45.45),13(59.09),5(22.73)
