0,1,2,3,4,5
Table 1. Demographic data of participants,,,,,
,Disposition,,,,
,All,Home + OBS,ACU,ICU,
Risk Factors,n = 131 (%),n = 64 (%),n = 40 (%),n = 27 (%),P-values*
Age (categories),,,,,
0–3 months,40 (30(cid:1)5),14 (21(cid:1)8),19 (47(cid:1)5),7 (25(cid:1)9),0(cid:1)18
4–6 months,31 (23(cid:1)7),17 (26(cid:1)6),6 (15(cid:1)0),8 (29(cid:1)6),
7–12 months,30 (22(cid:1)9),16 (25(cid:1)0),7 (17(cid:1)5),7 (25(cid:1)9),
>12 months,30 (22(cid:1)9),17 (26(cid:1)6),8 (20(cid:1)0),5 (18(cid:1)6),
Gender,,,,,
Males,77 (58(cid:1)8),38 (59(cid:1)4),23 (57(cid:1)5),16 (59(cid:1)3),0(cid:1)98
Race,,,,,
Hispanic,68 (51(cid:1)9),34 (53(cid:1)1),22 (55(cid:1)0),12 (44(cid:1)4),0(cid:1)94
White,30 (22(cid:1)9),14 (21(cid:1)9),8 (20(cid:1)0),8 (29(cid:1)6),
African-American,32 (24(cid:1)4),15 (23(cid:1)4),10 (25(cid:1)0),7 (25(cid:1)9),
Other,1 (0(cid:1)8),1 (1(cid:1)6),0 (0(cid:1)0),0 (0(cid:1)0),
Duration of Illness,,,,,
0–2 days,23 (17(cid:1)6),14 (21(cid:1)9),6 (15(cid:1)0),3 (11(cid:1)1),0(cid:1)03
3–5 days,68 (51(cid:1)9),24 (37(cid:1)5),27 (67(cid:1)5),17 (63(cid:1)0),
>5 days,40 (30(cid:1)5),26 (40(cid:1)6),7 (17(cid:1)5),7 (25(cid:1)9),
Breast Fed,,,,,
Yes,85 (64(cid:1)9),43 (67(cid:1)2),28 (70(cid:1)0),14 (51(cid:1)9),0(cid:1)27
Diagnosis of Asthma,,,,,
Yes,11 (8(cid:1)4),6 (9(cid:1)4),2 (5(cid:1)0),3 (11(cid:1)1),0(cid:1)63
Day care,,,,,
Yes,35 (26(cid:1)9),19 (29(cid:1)7),8 (20(cid:1)5),8 (29(cid:1)6),0(cid:1)56
Exposure to cigarette smoke,,,,,
Yes,44 (33(cid:1)6),22 (34(cid:1)4),10 (25(cid:1)0),12 (44(cid:1)4),0(cid:1)25
