0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,indicate the identity values of the closest related virus(es) to MAHLV.,,,,,,,,,,,,,,,,,,,,,,,
Virus (Isolate Number),,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1. MAHLV (06-24),,,,,,,,,,,,,,,,,,,,,,,,,
,,,99.8,56.6,53.6,58.0,66.3,55.6,55.5,54.6,54.7,55.6,55.2,55.6,57.7,57.5,57.2,56.6,56.6,54.5,54.5,54.4,54.5,54.4,54.4
2. MAHLV (2511),,,,,,,,,,,,,,,,,,,,,,,,,
,,93.5,,56.6,53.6,58.0,66.3,55.6,55.5,54.6,54.7,55.6,55.2,55.6,57.7,57.5,57.2,56.5,56.6,54.5,54.5,54.4,54.5,54.4,54.4
3.,Avian orthoreovirus (GX/2010/1),,,,,,,,,,,,,,,,,,,,,,,,
,,57.0,56.5,,50.0,50.9,55.4,70.6,70.5,54.8,54.9,70.5,70.2,70.5,71.3,72.1,91.4,95.2,91.2,54.8,54.8,54.8,54.9,54.8,54.8
4.,Baboon orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,58.0,58.1,54.4,,50.5,52.8,49.6,49.5,47.5,47.5,49.4,49.8,49.3,50.0,50.4,50.3,50.1,50.0,47.4,47.4,47.4,47.6,47.6,47.4
5.,Broome virus,,,,,,,,,,,,,,,,,,,,,,,,
,,60.2,60.7,55.0,58.9,,56.0,50.5,50.4,50.7,50.7,50.6,50.0,50.4,51.4,50.4,51.4,51.5,51.2,50.7,50.7,50.6,50.4,50.4,50.8
6.,Bush viper reovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,63.7,63.3,55.9,56.5,58.2,,57.0,56.9,51.8,51.8,56.9,56.8,56.6,56.8,56.1,55.5,54.8,55.3,51.9,51.9,51.9,51.7,51.5,51.8
7.,Cangyuan orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,56.6,56.6,63.8,52.9,53.4,56.8,,99.4,53.3,53.5,99.4,95.9,98.8,73.3,72.5,71.3,69.8,71.3,53.4,53.3,53.3,53.5,53.3,53.4
8.,Kampar orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,56.5,56.6,63.7,52.6,53.3,56.6,98.0,,53.2,53.3,99.2,95.6,98.8,73.3,72.3,71.3,69.7,71.2,53.2,53.2,53.2,53.3,53.2,53.2
,9. Mammalian orthoreovirus (SI-MRV01),,,,,,,,,,,,,,,,,,,,,,,,
,,56.8,57.4,54.6,53.7,55.2,55.6,53.0,52.8,,99.4,53.3,52.4,53.1,53.4,53.1,54.4,54.4,53.9,98.9,98.8,98.6,98.7,98.3,99.1
10. Mammalian Orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,,
,(T3/Bat/Germany/342/08),57.2,57.6,54.7,54.0,55.2,55.5,52.8,52.7,98.3,,53.5,52.6,53.2,53.6,53.2,54.5,54.6,54.0,98.6,98.5,98.3,98.4,98.1,98.8
11. Melaka orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,,
,,56.5,56.4,63.6,52.8,53.5,56.5,97.9,98.6,52.6,52.5,,95.6,98.6,73.2,72.1,71.2,69.7,71.1,53.4,53.3,53.3,53.3,53.3,53.4
12.,Nelson Bay orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,56.6,56.4,63.9,52.6,53.6,56.8,83.8,83.6,53.3,53.4,83.8,,96.0,72.5,71.6,71.0,70.0,70.9,52.5,52.4,52.4,52.6,52.5,52.5
13.,Pulau reovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,55.9,55.9,63.6,52.5,53.2,56.6,94.0,94.6,53.2,53.0,94.6,83.6,,73.2,72.1,71.2,69.7,71.1,53.2,53.1,53.1,53.2,53.1,53.2
14.,Tvarminne avian virus,,,,,,,,,,,,,,,,,,,,,,,,
,,56.3,56.4,63.7,53.9,53.6,56.9,65.3,65.3,54.6,54.6,65.3,64.1,65.7,,82.0,71.4,71.2,71.1,53.4,53.4,53.2,53.5,53.2,53.4
15.,Avian orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,
,,57.5,57.4,64.2,52.7,53.6,56.1,65.3,65.3,54.9,54.8,65.4,64.6,65.1,70.2,,72.1,72.1,71.5,53.2,53.2,53.1,53.2,52.7,53.2
16.,Avian orthoreovirus (D20/99),,,,,,,,,,,,,,,,,,,,,,,,
,,55.9,56.2,75.5,52.6,53.1,54.9,64.8,64.7,54.5,54.5,64.6,64.5,64.3,64.7,65.3,,91.2,97.3,54.4,54.4,54.3,54.6,54.4,54.4
