0,1,2,3,4
,Parainfluenza Detection Rate,,,
Age Groups (in Years),SARI Cases n/N (%),Controls n/N (%),Adjusted Odds Ratio (95% CI),Attributable Fraction (95% CI)
HIV-Infected and -Uninfected Individualsa,,,,
<1,59/699 (8.4),9/213 (4.2),2.85 (1.34–6.80),64.9 (25.4–85.3)
1–4,30/377 (8.0),10/357 (2.8),4.40 (1.86–10.30),77.3 (46.2–90.3)
5–24,3/98 (3.1),6/395 (1.5),2.14 (.33–10.49),53.3 (0–90.5)
25–54,3/230 (1.3),3/322 (0.9),1.30 (.16–10.65),23.1 (0–90.6)
≥55,2/68 (2.9),0/251 (0),7.59 (.56–∞)b,86.8 (0–∞)
All agesc,97/1472 (6.6),28/1538 (1.8),2.91 (1.89–4.48),65.6 (47.1–77.7)
HIV-Infected Individualsd,,,,
<1,6/71 (8.5),1/24 (4.2),2.11 (.24–101.72),52.6 (0–99.0)
1–4,8/59 (13.6),6/168 (3.6),3.91 (1.10–14.84),74.4 (9.1–93.3)
5–24,1/42 (2.4),3/188 (1.6),1.22 (.02–16.12),18.0 (0–93.8)
25–54,2/199 (1.0),3/189 (1.6),0.67 (.05–6.01),0 (0–83.4)
≥55,1/25 (4.0),0/94 (0),1.88 (.05–∞)b,46.8 (0–∞)
All agesc,18/396 (4.6),13/663 (2.0),2.33 (1.11–4.18),57.1 (9.9–76.1)
HIV-Uninfected Individualsd,,,,
<1,53/628 (8.4),8/189 (4.2),3.16 (1.41–8.09),68.4 (29.1–87.6)
1–4,22/318 (6.9),4/189 (2.1),4.88 (1.49–21.13),79.5 (32.9–95.3)
5–24,2/56 (3.6),3/207 (1.5),4.08 (.32–37.95),75.5 (0–97.4)
25–54,1/31 (3.2),0/133 (0),4.57 (.12–∞)b,78.1 (0–∞)
≥55,1/43 (2.3),0/157 (0),4.40 (.11–∞)b,77.3 (0–∞)
All agesc,79/1076 (7.3),15/875 (1.7),4.19 (2.56–7.79),76.1 (60.9–98.7)
