0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"Table 2 Summary statistics of demographic characteristics, mortality, hospitalization, and virological and meteorological data in",,,,,,,,,,,,,,,
Brisbane in different periods,,,,,,,,,,,,,,,,
,,Whole period,,,Pre-SARS,,,,Post-SARS,,,,,Post-pandemic,,
,Mean,SD,Min.,Max.,Mean,SD,Min.,Max.,Mean,SD,Min.,Max.,Mean,SD,Min.,Max.
Elderly population (per 1000),116.2,6.5,106.6,129,107.8,1,106.6,108.6,114,2.6,110.4,119.8,126.1,2.5,122.7,129
"Weekly death no.
(n)",,,,,,,,,,,,,,,,
All-causes,94.9,13.7,56,142,94.6,13.9,74,134,95,13.6,63,142,95,15.5,56,141
CRD,48.9,10.3,23,85,53.6,11.4,31,85,50,10.1,23,80,43.6,9.3,26,76
P&I,3.2,2,0,13,3.6,1.9,0,11,3.8,2.1,0,13,2.3,1.6,0,8
COPD,4.5,2.3,0,15,4.9,2.5,0,11,4.3,2.3,0,15,4.7,2.3,0,12
Stroke,11,3.7,2,29,13.6,4,5,29,11.1,3.6,3,22,9,2.9,2,18
IHD,19.7,5.8,6,45,22.4,6.3,9,45,20.2,5.6,6,38,16.6,4.8,7,35
"Weekly hospitalization no.
(n)",,,,,,,,,,,,,,,,
CRD,271.4,45.7,189,467,266.4,44.9,193,384,275.3,46.3,189,467,,,,
P&I,25.2,10.6,9,65,24.7,10,9,51,25.9,10.8,9,65,,,,
COPD,46.1,14.8,18,96,45.3,14.8,18,87,47.2,15.1,20,96,,,,
Stroke,22.5,5.1,9,37,22.5,4.8,10,36,22.6,5.2,9,37,,,,
IHD,75.7,10.3,43,103,78.6,9.8,57,103,74.7,10.6,43,102,,,,
Weekly positive specimens (n),6.1,22.1,0,272,0.5,0.9,0,5,1.6,3.5,0,28,23.8,44.3,1,272
Weekly positive percentage (%),2,3.6,0,35.1,2.3,4.6,0,20,2,3.9,0,35.1,2.1,2.4,0,13.2
Temperature (°C),21.2,3.7,13.4,30.4,20.8,3.8,14.3,28.4,21.6,3.7,13.5,30.4,20.9,3.5,14.1,27.8
Relative Humidity (%),57.9,8.5,32.1,90.2,54.4,7.7,36.1,73.9,57.4,8.1,32.1,79.2,60.4,9.2,36.9,90.2
Note. Weekly positive percentage (%),,is defined as the percentage of positive specimens among annual total specimens,,,,,,,,,,,,,,
