0,1,2,3,4,5
,,,,,Structure of Flu D HEF
Table 1. Crystallographic data collection and refinement statistics.,,,,,
,IDV-HEF,IDV-HEF-mut,IDV-HEF-mut with,IDV-HEF-mut with,IDV-HEF with
,,,9-O-Ac-3'SLN,9-O-Ac-3'SleC,9-N-Ac-Sia
Data collection,,,,,
Space group,P21 3,P21 3,P21 3,P21 3,I21 3
Cell dimensions,,,,,
"a, b, c (Å)","165.22, 165.22,","164.335, 164.335,","164.897, 164.897, 164.897","164.825, 164.825, 164.825","165.30, 165.30,"
,165.22,164.335,,,165.30
"α, β, γ(°)","90, 90, 90","90, 90, 90","90, 90, 90","90, 90, 90","90, 90, 90"
Resolution (Å),50.00–2.40 (2.49–,50.00–2.40 (2.49–,50.00–2.20 (2.28–2.20),50.00–2.20 (2.28–2.20),50.00–3.10 (3.21–
,2.40),2.40),,,3.10)
Rmerge,0.114 (0.524),0.121 (0.769),0.092 (0.596),0.093 (0.565),0.079 (0.858)
"I
/ δIa",19.8 (4.9),15.5 (2.6),24.5(3.4),25.2 (5.0),23.30 (2.40)
Completeness (%),100.0 (100.0),99.4 (100.0),99.6(96.5),100.0 (100.0),99.9 (100.00)
Redundancy,8.6 (8.7),6.8 (6.8),9.2 (7.3),9.7 (9.7),7.2 (7.4)
Reﬁnement,,,,,
Resolution (Å),47.7–2.40,49.55–2.40,47.60–2.20,47.71–2.20,38.96–3.10
No. reﬂections,58686,57383,75424,75303,13867
Rwork / Rfree,0.2010/0.2447,0.2046/0.2533,0.2035/0.2428,0.2045/0.2442,0.2244/0.2681
No. atoms,,,,,
Protein,9071,8700,9084,9082,4547
Ligand/ion,16,0,70,100,28
Water,566,544,675,629,0
B-factors,,,,,
Protein,44.20,43.77,44.10,48.26,118.90
Ligand/ion,46.10,-,78.65,94.25,123.80
Water,42.60,41.00,40.00,43.66,-
R.m.s. deviations,,,,,
Bond lengths (Å),0.006,0.018,0.006,0.010,0.011
Bond angles (°),1.299,1.488,1.005,1.501,1.478
Ramachandran,,,,,
analysis,,,,,
"Most
favoured (%)",86.3,84.6,86.6,86.6,78.3
Additional allowed,11.6,13.5,11.8,11.8,20.1
(%),,,,,
Generally allowed (%),1.9,1.8,1.3,1.3,1.0
Disallowed (%),0.3,0.2,0.2,0.2,0.6
