0,1,2,3
Table 2. Demographic and clinical data of,IPA and non-IPA patients.,,
,Patients with IPA (n = 57),Patients without IPA (n = 125),{ Pvalues
Demographic variables,,,
Age (range),48.98 (16-76),50.95 (16-78),NS
Sex ratio (male/female),35/22,70/55,NS
Hematological disease (%),,,
AML,27 (47.37),41 (32.80),
ALL,9 (15.79),12 (9.60),
MM,4 (7.02),20 (16.00),
CML,0 (0.00),2 (1.60),
HL,2 (3.51),15 (12.00),
NHL,8 (14.03),23 (18.40),
AA,3 (5.26),2 (1.60),
CLL,2 (3.51),6 (4.80),
MDS,2 (3.51),4 (3.20),
EORTC/MSG 2008 classification,,,
Proven IPA,13 (22.80),-,
Probable IPA,44 (77.20),-,
Risk factors,,,
HSCT,33 (57.90),53 (42.4),NS
Severe neutropenia{,45 (78.95),105 (84.00),NS
Corticoid therapy,14 (24.56),40 (32.00),NS
GVHD,8 (14.04),11 (8.80),NS
