0,1,2,3,4,5,6,7,8,9
Table 1. Commercially available syndromic panel by manufacture and platform.,,,,,,,,,
Manufacturer,,GenMark,BioFire,,Luminex,BD,,T2 Biosystems,
Platform,ePlex,XT-8,FilmArray,Verigene,xTAG/NxTAG,BD MAX,T2,,
,Respiratory,Respiratory,Respiratory†,Respiratory,Respiratory,–,–,,
,US&CE IVD,US&CE IVD,US&CE IVD,US&CE IVD,US&CE IVD,,,,
Syndromic panels,Blood,–,Blood,Blood,–,,Blood‡,,
,CE IVD,,US&CE IVD,US&CE IVD,,,,US&CE IVD,
,GI,–,GI,GI,GI,GI,–,,
,Development,,US&CE IVD,US&CE IVD,US&CE IVD,US&CE IVD,,,
,CNS,–,CNS,–,–,–,–,,
,Development,,US&CE IVD,,,,,,
Summarized here are panels for,,the following major,infectious syndromes:,"respiratory infections, bloodstream infections (e.g., bacteremia/fungemia), gastrointestinal",,,,(GI),infections
