0,1,2,3,4,5,6,7
,Table 3 The bacterial and viral aetiology of the enrolled patients,,,,,,
,,,,Number of patients (%),,,
,,,Case category,,,Age group,
,Total,CAP,,NPLRTI,15–64 years,,≥ 65 years
,(n = 323),(n = 154),,(n = 169),(n = 237),,(n = 93)
Bacterial culture No. tested,289,135,,154,209,,80
No. positive,43(15),22(16),,21(14),31(15),,12(15)
S. pneumoniae,8(3),4(3),,4(3),6(3),,2(3)
M. catarrhalis,5(2),3(2),,2(1),4(2),,1(1)
"H.
influenza",10(3),5(4),,5(3),8(4),,2(3)
S. aureus,11(4),3(2),,8(5),9(4),,2(3)
P. aeruginosa,4(1),4(3),,0,1(0),,3(4)
K. pneumonia,5(2),3(2),,2(1),3(1),,2(3)
Bacterial PCR No. tested,286,135,,154,209,,80
No. positive,132 (46),61 (45),,71 (47),104 (46),,28 (45)
"H.
influenza",79 (28),37 (27),,42 (28),63 (28),,16 (26)
S. pneumonia,65 (23),31 (23),,34 (23),51 (23),,14 (23)
M. catarrhalis,15 (5),8 (6),,7 (5),11 (5),,4 (6)
Respiratory viruses No. tested,357,167,,190,264,,93
No. positive,73 (20),27 (16),,46 (24),59 (22),,14 (15)
Influenza A,32 (9),10 (6),,22 (12),26 (10),,6 (6)
Influenza B,13 (4),5 (3),,8 (4),13 (5),,0
Rhinovirus,22 (6),9 (5),,13 (7),16 (6),,6 (6)
Adenovirus,3 (1),3 (2),,0,3 (1),,0
RSV,4 (1),1 (1),,3 (2),2 (1),,2 (2)
Viral-bacterial co-infection,57 (18),26 (17),,31 (19),45 (19),,12 (14)
