0,1,2,3,4,5,6,7,8,9,10,11
,Detection,,,,,,,,,,
,n (%),,,,,,,,,,
Characteristics,RSV,HPIV,HRV,HAV,INF,HCoV,HMPV,HBoV,HEV,HPV,Any virus
"Total
(N = 638)",149 (23.3),78 (12.2),62 (9.7),60 (9.4),52 (8.1),51 (8.0),28 (4.4),22 (3.4),8 (1.2),1 (0.2),370 (58.0)
Age (in y),,,,,,,,,,,
<1 (N = 411),119 (28.9),59 (14.4),38 (9.2),39 (9.5),32 (7.8),37 (9.0),19 (4.6),18 (4.4),5 (1.2),1 (0.2),257 (62.5)
1-4 (N = 227),30 (13.2),19 (8.4),24 (10.6),21 (9.2),20 (8.8),14 (6.2),9 (4.0),4 (1.8),3 (1.3),0 (0.0),113 (49.8)
Sex,,,,,,,,,,,
Female (N = 291),65 (22.3),39 (13.4),25 (8.6),25 (8.6),26 (8.9),26 (8.9),14 (4.8),9 (3.9),2 (0.7),0 (0.0),170 (58.4)
Male (N = 347),84 (24.2),39 (11.2),37 (10.7),35 (10.1),26 (7.5),25 (7.2),14 (4.0),13 (3.7),6 (1.7),1 (0.3),200 (57.6)
Season of the yeara,,,,,,,,,,,
Cold (N = 108),12 (11.1),4 (3.7),3 (2.8),4 (3.7),16 (14.8),4 (3.7),2 (1.8),4 (3.7),1 (0.9),0 (0.0),39 (36.1)
Dry (N = 213),63 (29.6),44 (20.7),24 (11.3),24 (11.3),17 (8.0),31 (14.5),11 (5.1),4 (1.9),1 (0.5),1 (0.5),147 (69.0)
Rainy (N = 191),18 (9.4),19 (9.9),24 (12.6),22 (11.5),13 (6.8),16 (8.4),4 (2.1),12 (6.3),6 (3.1),0 (0.0),103 (53.9)
Hot (N = 126),56 (44.4),11 (8.7),11 (8.7),10 (7.9),6 (4.8),0 (0.0),11 (8.7),2 (1.6),0 (0.0),0 (0.0),81 (64.3)
Malaria,,,,,,,,,,,
No (N = 538),116 (21.6),63 (11.7),47 (8.7),49 (9.1),46 (8.5),48 (8.9),23 (4.3),20 (3.6,6 91.1),1 (0.2),305 (56.7)
Yes (N = 100),33 (33.0),15 (15.0),15 (15.0),11 (11.0),6 (6.00),3 (3.0),5 (5.0),2 (2.0),2 (2.0),0 (0.0),65 (65.0)
Diarrhea,,,,,,,,,,,
No (N = 524),126 (24.0),67 (12.8),50 (9.5),48 (9.2),42 (8.0),37 (7.1),24 (4.6),18 (3.4),8 (1.5),0 (0.0),307 (58.6)
Yes (N = 114),23 (20.2),11 (9.6),12 (10.5),12 (10.5),10 (8.8),14 (12.3),4 (3.5),4 (3.5),0 (0.0),1 (0.9),63 (55.3)
Malnutrition,,,,,,,,,,,
No (N = 524),124 (23.7),65 (12.4),48 (9.2),42 (8.1),42 (8.0),41 (7.8),25 (4.8),20 (3.8),6 (1.1),1 (0.2),304 (58.0)
Moderate (N = 40),12 (30.0),5 (12.5),7 (17.5),7 (17.5),6 (15.0),5 (12.5),1 (2.5),2 (5.0),0 (0.0),0 (0.0),29 (72.5)
Severe (N = 74),13 (17.6),8 (10.8),7 (9.5),11 (14.9),4 (5.4),5 (6.8),2 (2.7),0 (0.0),2 (2.7),0 (0.0),37 (50.0)
Antibiotics on admission,,,,,,,,,,,
No (N = 66),17 (15.8),9 (13.6),10 (15.1),6 (9.1),6 (9.1),8 (12.1),5 (7.6),2 (3.0),0 (0.0),0 (0.0),41 (62.1)
Yes (N = 572),132 (23.1),69 (12.1),59 (9.1),54 (9.4),46 (8.0),43 (7.5),23 (4.2),20 (3.5),8 (1.4),1 (0.2),329 (57.5)
Death,1.00,.704,.002,.644,1.000,.340,1.000,1.000,1.000,1.000,.602
No (N = 623),146 (23.4),76 (12.2),56 (9.0),58 (9.3),51 (8.2),49 (7.9),28 (4.5),22 (3.5),8 (1.3),1 (0.2),360 (57.8)
Yes (N = 15),3 (20.0),2 (13.3),6 (40.0),2 (13.3),1 (6.7),2 (13.3),0 (0.0),0 (0.0),0 (0.0),0 (0.0),10 (66.7)
Bacteria,,,,,,,,,,,
Any (N = 301),67 (22.3),32 (10.6),30 (10.0),31 (10.3),25 (8.3),23 (7.6),12 (4.0),13 (4.3),5 (1.7),1 (0.3),175 (58.1)
Spneu (N = 249),50 (20.1),28 (11.2),24 (9.6),28 (11.2),20 (8.1),18 (7.2),11 (4.4),10 (4.0),3 (1.2),1 (0.4),142 (57.0)
,,,,,,,,,,,(Continues)
