0,1,2,3,4,5,6,7
,,Table 9. Frequencies of viruses detected in 12 Brazilian states.,,,,,
,,,,,Virus Strains Examined in This Study **,,
Brazilian States—,Total Positive,% of Samples Positive,,,,,
Samples Origin,Samples *,for Each State,FAdV-I,ChPV,CAstV,ANV,"IBV
AReo
ARtV"
Bahia,6,2.2%,,3 (13.6) A,,6 (14.3),5 (2.6)
Ceara,5,1.9%,,2 (9.1),,2 (4.8),1 (0.5)
Espirito Santo,3,1.1%,,,,,3 (1.5)
Goias,13,4.8%,,,,,13 (6.6)
Mato Grosso,11,4.1%,,,,,11 (5.6)
Minas Gerais,50,18.5%,,4 (18.2),20 (74.1),14 (33.3),"33 (16.8)
11 (64.7)"
Paraiba,4,1.5%,,1 (4.5),,3 (7.1),
Pernambuco,9,3.3%,1 (3.6),2 (9.1),,5 (11.9),"1 (0.5)
1 (5.9)"
Piaui,1,0.4%,,,,,1 (0.5)
Santa Catarina,7,2.6%,7 (25),,,,
São Paulo,82,30.4%,18 (64.3),3 (13.6),,7 (16.7),"65 (33.2)
3 (17.6)"
Not informed,79,29.3%,2 (7.1),7 (31.8),7 (25.9),5 (11.9),"63 (32.1)
1 (100)
2 (11.8)"
Total,270,100%,28 (100),22 (100),27 (100),42 (100),"196 (100)
1 (100)
17 (100)"
,A The numbers in parentheses represent the percentage values of each sample. The blanks in the table indicate that,,,,,,
