0,1,2,3,4,5,6
Characteristics,N (%),N (%),N (%),N (%),N (%),N (%)
Demographics,,,,,,
Male,174 (52),19 (39),14 (56),13 (65),7 (44),3 (27)
Median age in years (range),63 (0–97),62 (1–97),65 (0–89),64 (0–86),80 (29–88),3 (0–78)
Age 0–4 years,17 (5(cid:1)2),2 (4(cid:1)1),2 (8(cid:1)0),3 (15),0,6 (55)
5–24,10 (3(cid:1)0),1 (2(cid:1)0),3 (12),1 (5(cid:1)0),0,0
25–49,67 (20),12 (25),2 (8(cid:1)0),1 (5(cid:1)0),3 (19),1 (9(cid:1)1)
50–64,80 (24),13 (27),5 (20),6 (30),1 (6(cid:1)3),1 (9(cid:1)1)
≥65,156 (47),21 (43),13 (52),9 (45),12 (75),3 (27)
Race/Ethnicity,,,,,,
White non-Hispanic,160 (48),23 (47),11 (44),8 (40),10 (63),0
Hispanic/Latino,118 (36),20 (41),7 (28),8 (40),5 (31),5 (45)
American Indian/Alaska Native,41 (12),5 (10),5 (20),4 (12),1 (6(cid:1)3),6 (55)
Black/African American,8 (2(cid:1)4),0,2 (8(cid:1)0),0,0,0
Asian,4 (1(cid:1)2),1 (2),0,0,0,0
Signs/Symptoms at admission,,,,,,
Cough,300 (90),48 (98),25 (100),19 (95),12 (75),10 (91)
Shortness of breath,254 (77),37 (76),19 (76),15 (75),14 (88),8 (73)
"Fever
(T ≥ 37(cid:1)8°C)",240 (72),37 (76),19 (76),18 (90),11 (69),10 (91)
Clinical suspicion of pneumonia,232 (71),30 (61),20 (80),17 (85),11 (69),3 (28)
Sputum production,174 (52),30 (61),16 (64),9 (45),6 (38),5 (45)
Chills,164 (49),26 (53),11 (44),10 (50),5 (32),4 (36)
Feverish,121 (37),22 (45),13 (52),2 (10),9 (53),0
Body ache,109 (33),16 (33),9 (33),5 (25),4 (25),3 (27)
Wheezing,94 (28),13 (27),10 (40),6 (30),4 (25),4 (36)
Nasal congestion,92 (28),16 (33),9 (36),6 (30),4 (25),4 (36)
Nausea or vomiting,88 (27),16 (33),5 (21),3 (15),4 (25),3 (27)
Headache,86 (26),16 (33),3 (12),4 (20),1 (6(cid:1)3),2 (18)
Sore throat,76 (23),11 (23),5 (20),6 (30),2 (13),4 (36)
Diarrhea,47 (14),10 (20),0,1 (5),0,3 (27)
Comorbidities,,,,,,
Hypertension,136 (41),24 (49),10 (40),9 (20),11 (69),1 (9(cid:1)1)
Metabolic disorder,109 (33),22 (45),7 (28),7 (35),4 (25),2 (18)
Chronic lung disease,99 (30),16 (33),3 (12),5 (25),8 (50),2 (18)
Cardiac disease,80 (24),14 (29),7 (28),9 (45),4 (25),0
Current smoker,41/208 (20),5 (13),3/18 (17),2/10 (20),1 (11),0
Immunosuppression,35 (11),2 (4),3 (13),0,1 (6(cid:1)3),0
Morbid obesity,37 (11),6 (12),3 (12),2 (10),2 (13),1 (9(cid:1)1)
Neuromuscular disease,18 (5(cid:1)4),1 (2),3 (12),1 (5),2 (12),0
Outcomes,,,,,,
Admission to intensive care unit,120/297 (40),14 (33),4/22 (18),6 (40),6 (38),2/6 (33)
Intubation,51/230 (22),11 (29),1/18 (5(cid:1)6),0,4 (25),NA
Death,28/278 (10),3 (6(cid:1)4),2/23 (8(cid:1)7),2/16 (13),3 (19),0/5
