0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,Sadness,,Fear,,Disgust,,Anger,,Happiness,Surprise,
,,,M,SD,M,SD,M,SD,M,SD,M,SD,M,SD
Korea,Negative,Affective,3.80,1.25,4.03,1.18,4.83,1.21,4.64,1.20,0.83,1.09,2.42,1.11
,,Cognitive,3.30,1.38,3.77,1.38,4.61,1.31,4.11,1.36,0.89,1.02,2.45,1.20
,Positive,Affective,1.87,1.30,1.76,1.38,1.01,1.17,1.34,1.28,5.20,1.05,3.17,1.11
,,Cognitive,2.81,1.99,2.27,1.39,1.44,1.33,2.07,1.48,5.21,0.93,3.35,1.15
China,Negative,Affective,4.28,1.18,4.62,1.09,4.71,1.15,4.75,1.12,0.66,0.83,2.41,1.11
,,Cognitive,3.86,1.34,4.28,1.27,4.46,1.17,4.38,1.19,0.81,0.90,2.36,1.07
,Positive,Affective,1.66,1.22,1.24,1.06,1.06,0.94,1.12,0.98,5.34,0.75,3.29,0.95
,,Cognitive,2.11,1.35,1.69,1.16,1.46,1.17,1.63,1.24,5.27,0.82,3.38,0.97
Canada,Negative,Affective,5.28,0.81,4.39,1.26,5.02,0.91,4.87,1.00,0.39,0.77,2.13,1.17
,,Cognitive,4.78,1.18,4.07,1.17,5.09,0.98,4.74,0.99,0.34,0.64,2.29,1.18
,Positive,Affective,0.49,0.59,1.46,1.18,0.67,0.77,0.98,0.93,5.70,0.52,3.81,1.16
,,Cognitive,1.09,1.08,1.99,1.28,0.75,0.95,1.36,1.08,5.78,0.47,3.94,1.14
US,Negative,Affective,4.67,1.18,4.21,1.33,4.42,1.31,4.43,1.27,0.29,0.54,1.71,1.17
,,Cognitive,4.37,1.39,4.12,1.46,4.73,1.12,4.50,1.21,0.54,1.02,1.92,1.20
,Positive,Affective,0.75,0.89,1.22,1.34,0.68,0.92,1.20,1.17,5.64,0.68,4.00,1.03
,,Cognitive,1.50,1.46,1.88,1.52,0.93,1.10,1.47,1.25,5.58,0.92,4.08,1.06
"NKorea = 147, NChina = 90, NCanada = 109, and NUS = 112.",,,,,,,,,,,,,,
