0,1,2,3,4
Table 2. Affinity of monomeric scFvs,,,,
,Flow cytometrya,,Surface plasmon resonanceb,
ScFv,KD ± SE [nM],kon ± SD [105 M-1s-1],koff ± SD [10-4 s-1],KD ± SD [nM]
1,19.1 ± 1.0,0.73 ± 0.07,8.67 ± 0.36,12.0 ± 1.6
4,6.1 ± 0.6,NC,NC,NC
5,587.0 ± 25.7,ND,ND,ND
9,3.2 ± 0.2,7.45 ± 2.05,4.83 ± 0.35,0.7 ± 0.2
10,11.6 ± 0.8,3.58 ± 0.26,15.30 ± 0.28,4.3 ± 0.4
11,7.0 ± 0.5,1.62 ± 0.15,6.43 ± 0.01,4.0 ± 0.4
22,28.9 ± 3.2,0.95 ± 0.01,40.45 ± 2.33,42.6 ± 2.3
28,15.5 ± 2.3,2.22 ± 0.08,16.90 ± 0.28,7.6 ± 0.2
30,8.5 ± 0.4,4.27 ± 0.59,3.95 ± 0.43,0.9 ± 0.1
31,6.6 ± 0.7,NC,NC,NC
33,11.1 ± 0.8,1.03 ± 0.07,12.25 ± 0.07,12.0 ± 0.6
34,7.2 ± 0.3,2.41 ± 0.95,8.82 ± 1.24,4.1 ± 2.1
