0,1,2
"estimated for 1,000 replicates. SignalP 4.1 software [18] was used to predicte the N-glycosylated sites.",,
,"Table 5. Isolates and reference strains used in studies of PEDV outbreak in Gansu, China.",
Virus strain,GenBank accession No.,Country and year of isolation
JY5C,KF177254,China 2012
JY6C,KF177255,China 2012
JY7C,KF177256,China 2012
YJ3F,KF177257,China 2012
YJ7C,KF177258,China 2012
CH1,JQ239429,China 2011
CH2,JQ239430,China 2011
CH3,JQ239431,China 2011
CH4,JQ239432,China 2011
CH5,JQ239433,China 2011
CH6,JQ239434,China 2011
CH7,JQ239435,China 2011
CH8,JQ239436,China 2011
CHGD01,JN980698,China 2011
CH-FJND-1-2011,JN543367.1,China 2011
CH-FJND-2-2011,JN315706.1,China 2011
CH-FJND-3-2011,JN381492.1,China 2011
DX,EU031893,China 2007
LZC,EF185992,China 2006
LJB-03,DQ985739,China 2006
JS-2004-2,AY653204,China 2004
CHS,JN547228.1,China 1986
KUN-0901,GU180144,South Korea 2009
KUN-0902,GU180145,South Korea 2009
KUN-0903,GU180146,South Korea 2009
KUN-0904,GU180147,South Korea 2009
KUN-0905,GU180148,South Korea 2009
KUN-0801,GU180142,South Korea 2008
KUN-0802,GU180143,South Korea 2008
Parent DR13,DQ862099,South Korea 2006
Attenuated DR13,DQ462404.2,South Korea 2006
Chinju99,AY167585,South Korea 1999
MK,AB548624.1,Japan 1996
NK,AB548623.1,Japan
KH,AB548622.1,Japan
CV777,AF353511.1,Belgium 1988
Br1-87,Z25483,Great Britain 1993
PUR46-MAD,M94101,USA 1992
