0,1,2,3
Cell,,Pleconaril,Rupintrivir
Line,Serotype-strain,EC50 (µM),EC50 (µM)
HeLa,PV1-Sabin,0.048 ± 0.018,0.221 ± 0.122
HeLa,PV2-Sabin,0.063 ± 0.011,0.289 ± 0.112
HeLa,CV-A24-92183,3.15 ± 0.63,6.52 ± 1.08
HeLa,CV-B3-US/MO/23558,0.345 ± 0.044,0.156 ± 0.024
RD,EV-D68-Fermon,0.36 ± 0.021,0.0028 ± 0.0013
RD,E11- US/CA/23901,0.107 ± 0.016,0.182 ± 0.028
RD,E7- 90201,0.089 ± 0.053,0.017 ± 0.007
RD,EV-A71-HuN13-1,>10,0.332 ± 0.211
RD,EV-A71-AH-FY-04,>10,0.423 ± 0.252
RD,EV-A71-SH-17,>10,0.359 ± 0.281
RD,EV-A71-US/OK/23771,>10,0.022 ± 0.008
Vero,HPeV1- Harris,>10,>10
Vero,HPeV3-US/WI/21001,>10,>10
