0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,(isolate,(RNA,from swabs,,study,shedding,
,,,,,,,,,from,detection,or excreta,,timeframe,infectious,
,,,,,,,,,excreta),from,,,,virus,
,,,,,,,,,,blood),,,,,
Jones et al.,2015,Ebola Virus,Ebola Virus:,21,"groups,",N,5–10,SQ,n.a.,none,none,n.a.,n.a.,n.a.,None
,,(ﬁve strains) R.,Human patient,,2–4,,days*,,,,,,,,
,,aegyptiacus,"(s), Vero cell",,,,,,,,,,,,
,,,passage 2;,,,,,,,,,,,,
,,,Sudan Virus:,,,,,,,,,,,,
,,,Human patient,,,,,,,,,,,,
,,,"(s), Vero cell",,,,,,,,,,,,
,,,passage 3;,,,,,,,,,,,,
,,,Bundibugyo,,,,,,,,,,,,
,,,Virus: Human,,,,,,,,,,,,
,,,"patient(s), Vero",,,,,,,,,,,,
,,,cell passage 2;,,,,,,,,,,,,
,,,Tai Forest,,,,,,,,,,,,
,,,Virus: Human,,,,,,,,,,,,
,,,"patient(s), Vero",,,,,,,,,,,,
,,,"cell passage 5,",,,,,,,,,,,,
,,,Reston Virus:,,,,,,,,,,,,
,,,Rhesus,,,,,,,,,,,,
,,,"macaque,",,,,,,,,,,,,
,,,MA104 passage,,,,,,,,,,,,
,,,"1, Vero cell",,,,,,,,,,,,
,,,passage 7,,,,,,,,,,,,
Jones et al.,2015,Ebola Virus R.,Sudan Virus:,15,"groups,",N,3–15,SQ,n.a.,none,none,17%,n.d.,n.a.,None
,,aegyptiacus,Human patient,,3–9,,days*,,,,,seroconverted by,,,
,,,"(s), Vero cell",,,,,,,,,ELISA on day 12;,,,
,,,passage 3,,,,,,,,,66% on day 15,,,
Paweska,2016,Ebola Virus R.,"Human patient,",24,"groups, 6",Y (horizontal);,3–37*,SQ,n.a.,day 3,none,33%,"Y, marginal",0,None
et al.,,aegyptiacus,Vero cell,,,not observed,,,,,,seroconverted by,,,
,,,passage 4,,,,,,,,,ELISA on day 10;,,,
,,,,,,,,,,,,100% on day 14,,,
Paweska,2016,Ebola Virus R.,"Human patient,",11,n.r.,N,5–16*,"IP,IM",n.a.,"day 7 (IP),",none,80%,n.d.,0,None
et al.,,aegyptiacus,Vero cell,,,,,,,days 7–16,,seroconverted by,,,
,,,passage 4,,,,,,,(IM),,ELISA on day 16,,,
