0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Table 3: Histopathology in brain regions of uninfected and infected mice,,,,,,,,,,,,,,,,,,,,,
Mouse,Meningitis,,,PV Cuffing,,,Inflammatory Lesions,,,,Calcifications,,,,,Cysts,,,Inflammation With Cysts,,
,,Co,D,H,Ce,Co,D,H,Ce,Co,D,H,Ce,Co,D,H,Ce,Co,D,H,Ce
U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,2,1,2,2,0,2,4,0,0,4,0,0,4,4,7,1,0,1,0,0,0
I2,1,1,1,2,2,2,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0
I3,1,1,2,1,1,0,1,1,1,0,0,0,1,2,3,2,0,0,0,1,0
I4,2,1,3,2,2,0,1,1,1,0,0,0,0,3,5,1,0,0,1,1,0
I5,3,1,2,1,0,2,2,0,1,0,1,0,3,4,1,2,0,0,0,0,0
I6,3,1,1,3,1,1,1,4,0,0,2,0,3,2,2,2,1,0,0,1,0
I7,3,1,2,2,2,4,3,2,0,0,0,0,2,3,2,2,1,0,0,0,0
I8,1,1,1,2,2,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
