0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Total n (%),,,Single,,,Co-infection,,,Mean age,,,Age (months) [GEN n = 203; UK n = 97],,,,,,
,,,,infection n,,,n (%),,,(SD),,,,,,,,,
,,,,(%),,,,,,,,,,,,,,,
,,,,,,,,,,,0–12,,12–24,,24–48,,,>48,
,GEN,UK,GEN,,UK,GEN,,UK,GEN,UK,GEN,UK,GEN,UK,GEN,UK,GEN,,UK
RSV,108,35,53,,21,55,,14,8.1,12.8,88,21,12,8,5,5,3,,1
,(52.9),(36.1),(55.8),,(33.3),(59.8),,(43.8),(14.9),(14.6),(64.7),(53.8),(48.0),(47.1),(19.2),(29.4),(18.8),,(4.2)
Rhinovirus,68,24,17,,11,51,,13,14.4,40.9,44,7,9,5,11,6,3,,6
,(33.3),(24.7),(17.9),,(17.5),(55.4),,(40.6),(17.4),(46.3),(32.4),(17.9),(36.0),(29.4),(42.3),(35.3),(18.8),,(25.0)
Bocavirus,48,19,6,,3,42,,16,22.5,31.9,21,4,10,8,13,4,4,,3
,(23.5),(19.6),(6.3),,(4.8),(45.7),,(50.0),(27.4),(35.8),(15.4),(10.3),(40.0),(47.1),(50.0),(23.5),(25.0),,(12.5)
Adenovirus,39,9,4,,3,35,,6,21.4,51.2,15,2,11,1,9,3,4,,3
,(19.1),(9.3),(4.2),,(4.8),(38.0),,(18.8),(20.1),(48.9),(11.0),(5.1),(44.0),(5.9),(34.6),(17.6),(25.0),,(12.5)
Metapneumovirus,27,4,9,,2,18,,2,16.8,48.5,18,1,3,1,5,1,1,,1
,(13.2),(4.1),(9.5),,(3.2),(19.6),,(6.3),(27.7),(57.2),(13.2),(2.6),(12.0),(5.9),(19.2),(5.9),(6.3),,(4.2)
Inﬂuenza virus,12,23,4,,13,8,,10,35.7,45.9,2,5,4,5,4,5,2,,8
,(5.9),(23.7),(4.2),,(20.6),(8.7),,(31.3),(43.2),(44.0),(1.5),(12.8),(16.0),(29.4),(15.4),(29.4),(12.5),,(33.3)
Parainﬂuenza,5,6,1,,3,4,,3,40.4,41.6,3,2,0,1,1,2,1,,1
,(2.5),(6.2),(1.1),,(4.8),(4.3),,(9.3),(53.5),(55.8),(2.2),(5.1),(0.0),(5.9),(3.8),(11.8),(6.3),,(4.2)
Coronavirus,5,_,1,,_,4,,_,25.3,_,2,_,0,_,1,_,1,,_
,(2.5),,(1.1),,,(4.3),,,(23.5),,(1.5),,(0.0),,(3.8),,(6.3),,
Co-infection,92,29,_,,_,_,,_,15.1,25.6,53,8,16,10,18,6,4,,4
,(45.1),(29.9),,,,,,,(16.1),(25.1),(41.7),(23.5),(72.7),(66.7),(75.0),(35.3),(30.8),,(21.1)
Total samples,204,97,95,,56,92,,29,16.7,36.6,136,39,25,17,26,17,16,,24
,,,(46.1),,(57.7),(45.1),,(29.9),(28.5),(44.6),(67.0),(40.2),(12.3),(17.5),(12.8),(17.5),(7.9),,(24.7)
,doi:10.1371/journal.pone.0136526.t002,,,,,,,,,,,,,,,,,,
