0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 10 Concentrations (pg/ml) of,,,,immune-related proteins in the PES of FCoV-positive cats,,,,,,,,,,,,,,
Cat ID,Fas,Flt-3lL,GM-CSF,IFNγ,IL1β,IL2,PDGF-BB,IL12/p40,IL13,IL4,IL6,IL8,KC,SDF1,RANTES,SCF,MCP1,TNFα,IL18
7,12.8,226.1,18.1,5157,54.2,22.9,357.5,1033.6,7.0,125.9,1123,60.9,4.9 ± 0.4,225.5,650.5 ± 55.9,90.5,968.7,181.4,<71.2
,± 0.4,± 15.6,± 0.4,± 503.5,± 0.7,± 0.4,± 6.7,± 89.7,± 0.2,± 6.4,± 67.6,± 5.5,,± 3.1,,± 3.1,± 18.7,± 2.4,± 0
8,9.6,15.5,23.8,60.9,82.7,19.4,319.7,1040.9,6.0,109.9,424.0,308.3,7.6,220.7,34.1,44.0,868.6,56.7,<71.2
,± 0,± 0.5,± 0.7,± 1.2,± 2.3,± 0,± 0,± 56.1,± 0.1,± 1.4,± 11.4,± 10.8,± 0.6,± 4,± 1.5,± 0.6,± 13.4,± 0.5,± 0
9,11.5,218.3,20.6,5595,54.8,20.1,345.5,1598.5,7.5,149.3,,,2998.5,96.8,12.1,,368.2,180.1,92.1
,± 0.4,± 7.4,± 0.3,± 250.6,± 2.2,± 0.4,± 7.1,± 66.7,± 0.2,± 4.3,,,± 90.9,± 3.3,± 0.6,,± 14.3,± 8.4,± 2.9
,,,,,,,,,,,,,,,968.7 ± 18.7,,234.9,<71.2,
,,,,,,,,,,,,,,,,,± 9.1,± 0,
5,10.0,159.1,17.4,21.5,21.3,21.5,319.7,690.7,7.0,112.3,96.2,76.2,4.1,314.4,27.2,36.9,868.6,67.2,<71.2
,± 0.3,± 6.2,± 0.2,± 1.1,± 1,± 0.4,± 0,± 29.7,± 0.2,± 2.9,± 14.9,± 3.3,± 0.4,± 4.6,± 1.1,± 1.7,± 13.4,± 1.5,± 0
10,11.1,113.5,15.9,1072.5,43.6,20.1,333.2,908.8,8.9,382.6,714.5,86.8,1.6,372.4,83.3,82.8,2228.5,183.1,<71.2
,± 0.1,± 1,± 0.1,± 19.9,± 0.5,± 0.4,± 0,± 6.1,± 0.1,± 2.7,± 1.4,± 0.6,± 0.1,± 7.9,± 0.7,± 1,± 6.6,± 0.5,± 0
12,13.7,121.7,10.3,170.0,,,128.8,201.2,380,582.9,10.8,523.8,1302,46.7,22.0,1679,64.6,52.4,
,± 0.1,± 4.4,± 0.1,± 3.1,,,± 5.7,± 8.2,± 0,± 8.6,± 0,± 8.1,± 61.2,± 1.5,± 0.8,,± 2.3,± 0.6,
,,,,,,,,,,,,,,,,"± 6
6.4",,,
,,,1371.5,988.1,,,1412.5,,,,,,,,,,,,
,,,± 9.5,± 41.5,,,± 58.6,,,,,,,,,,,,
13,25.0,133.6,11.7,1888.5,,,242.3,45.2,,521.1,,,3708.5,13.4,2000.5,,6736.5,303.6,3.4
,± 0.1,± 0.6,± 0,± 22.8,,,± 1.8,± 0.2,,± 3.5,,,± 11.3,± 0.2,± 2.6,,± 13,± 3.6,± 0.1
,,,,,,,,,,,,,,206.1 ± 0.6,411.6,36.6,1268.5,942.7,194.0
,,,,,,,,,,,,,,,± 5.3,± 0.4,± 10.1,± 10.9,± 1.9
,Note: Each sample was analyzed in three replicates and the data are expressed as means ± SEM,,,,,,,,,,,,,,,,,,
