0,1,2,3,4,5,6,7,8
Table 5 Pathologic and molecular,,findings of selected snakes with different symptoms (Continued),,,,,,
Sample,Species name,Common,Stock,Clinical signs,Samples,Snake,Snake,Accession
number,,name,number,,examined,nidovirus,nidovirus,number
,,,,,,RT-qPCR,conventional,
,,,,,,,RT-PCR,
,,python,,,,,,
BH086/17–16,Morelia spilota,carpet/diamond,,none,swab,positive,negative,MK182560
,,python,,,,,,
BH086/17–17,Morelia spilota,carpet/diamond,,none,swab,positive,negative,MK182561
,,python,,,,,,
BH086/17–18,Morelia spilota,carpet/diamond,,none,swab,positive,negative,MK182562
,,python,,,,,,
BH086/17–19,Morelia spilota,carpet/diamond,,none,swab,positive,negative,MK182563
,,python,,,,,,
BH086/17–20,Morelia spilota,carpet/diamond,,none,swab,positive,negative,MK182564
,,python,,,,,,
afull-length sequence available,,,,,,,,
