0,1,2,3
Open Access,,,
Table 2,Number and percentage (n/%) of participants from respective study arms reporting pain after Tdap injection,,
,Northern arm (N=326),Canterbury arm (N=467),Total (N=793)
Pain,,,
None,56 (17.2),90 (19.3),146 (18.4)
"Mild, still able to move arm normally",163 (50.0),184 (39.4),347 (43.8)
"Moderate, hurts to move or to touch",90 (27.6),189 (40.5),279 (35.2)
"Severe, unable to move arm",17 (5.2),4 (0.9),21 (2.6)
Onset of pain (h),(n=270),(n=377),(n=647)
0–24,201 (74.4),342 (90.7),543 (83.9)
25–48,68 (25.2),35 (9.3),103 (15.9)
49–72,1 (0.4),–,1 (0.2)
Pain resolved by (h),,,
0–24,30 (11.1),131 (34.7),161 (25.1)
25–48,86 (31.9),141 (37.4),227 (35.4)
>49,154 (57.0),99 (26.3),253 (39.5)
Missing,–,6 (1.6),6 (0.9)
