0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 3 Uniform probability of transmission between,,,,,,,,,,Table 5 Increased transmission for most densely,,,,,,,,
,different provinces,,,,,,,,,,populated provinces,,,,,,,,
,EC,FS,GT,KZN,LP,MP,NC,NW,WC,,EC,FS,GT,KZN,LP,MP,NC,NW,WC
EC,2,1,1,1,1,1,1,1,1,EC,2,1,0.5,1,0.5,0.5,1,0.5,1
FS,1,2,1,1,1,1,1,1,1,FS,1,2,1,1,0.5,1,1,1,0.5
GT,1,1,2,1,1,1,1,1,1,GT,0.5,1,2,1.5,1,1,0.5,1,1.5
KZN,1,1,1,2,1,1,1,1,1,KZN,1,1,1.5,2,0.5,1,0.5,0.5,1.5
LP,1,1,1,1,2,1,1,1,1,LP,0.5,0.5,1,0.5,2,1,0.5,1,0.5
MP,1,1,1,1,1,2,1,1,1,MP,0.5,1,1,1,1,2,0.5,0.5,0.5
NC,1,1,1,1,1,1,2,1,1,NC,1,1,0.5,0.5,0.5,0.5,2,1,1
NW,1,1,1,1,1,1,1,2,1,NW,0.5,1,1,0.5,1,0.5,1,2,0.5
WC,1,1,1,1,1,1,1,1,2,WC,1,0.5,1.5,1.5,0.5,0.5,1,0.5,2
