0,1,2
,Table 1. Prevalence of calves infected with a single causative agent (n = 95) among diarrheal Korean native calves,
(n = 164),,
Causative agents,No. of calves,Prevalence (%)
Virus,,
Rotavirus,28,17.1
Coronavirus,5,3.0
Parvovirus,5,3.0
BVDV,3,1.8
Norovirus,3,1.8
Torovirus,3,1.8
Kobuvirus,1,0.6
Subtotal,48,29.1
Bacteria,,
E. coli,13,7.9
C. difficile,4,2.4
Salmonella spp.,1,0.6
Subtotal,18,10.9
Protozoa,,
Eimeria spp.,20,12.2
Giardia spp.,8,4.9
Cryptosporidium spp.,1,0.6
Subtotal,29,17.7
Total,95,57.9
