0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PLOS ONE,Table 1. Detection of,,respiratory tract pathogens from 4242 pediatric patients with ARI by real-time PCR.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Detection rate in 2361
,Pathogens#,infA,infB,RSV,EV,ADV,PIV1,PIV2,PIV3,PIV4,229E,OC43,NL63,HKU1,HBoV,HMPV,MP,CP,"positive samples, %"
| www.plosone.org,infA,428,16,63,32,12,6,4,7,0,5,18,4,2,7,7,19,0,18.1
,infB,,155,13,9,1,0,1,5,0,0,1,0,1,2,5,5,2,6.6
,RSV,,,768,63,21,7,12,10,1,8,19,10,1,17,8,16,5,32.5
,EV,,,,313,16,12,1,10,1,3,9,5,0,10,10,10,2,13.3
,ADV,,,,,213,1,3,3,1,3,4,5,1,7,5,10,2,9.0
,PIV1,,,,,,67,2,1,0,0,4,1,0,3,0,6,0,2.8
,PIV2,,,,,,,51,3,0,2,8,0,0,1,1,2,0,2.2
,PIV3,,,,,,,,140,0,0,9,1,0,6,2,9,1,5.9
,PIV4,,,,,,,,,11,0,0,0,0,0,0,1,0,0.5
,229E,,,,,,,,,,37,5,2,0,0,2,1,0,1.6
,OC43,,,,,,,,,,,138,2,0,4,6,11,2,5.8
,NL63,,,,,,,,,,,,39,1,1,1,1,1,1.7
,HKU1,,,,,,,,,,,,,17,3,0,5,0,0.7
,HBoV,,,,,,,,,,,,,,125,3,10,0,5.3
,HMPV,,,,,,,,,,,,,,,173,4,0,7.3
3,,,,,,,,,,,,,,,,,,,
,MP,,,,,,,,,,,,,,,,267,1,11.3
,CP,,,,,,,,,,,,,,,,,23,1.0
,Single pathogen,264,102,555,170,140,35,23,89,7,16,62,12,6,68,126,174,11,78.7
,Co-pathogens,164,53,213,143,73,32,28,51,4,21,76,27,11,57,47,93,12,21.3
,,"#229E: human coronavirus 229E, OC43: human coronavirus OC43, NL63: human coronavirus NL63, HKU1: human coronavirus HKU1.",,,,,,,,,,,,,,,,,
,,*Boldface indicates total numbers of pathogens detected. Note: multiple pathogens were isolated from some samples.,,,,,,,,,,,,,,,,,
,doi:10.1371/journal.pone.0096674.t001,,,,,,,,,,,,,,,,,,
