0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,Methods for virus detection,,,,,,Viral identification rates (%),,,,,
,,,,,,,,,,PIV,,,,,
Y of study,Wheezing,,,,,,,,,types,Influ,,,,Total
(ref.),episodes,Age (y),Culture,,Antigen  Serology,PCR,RSV,Rhino,Entero,1–3,A/B,Adeno,Corona,HMPV,pos.
1965 (17),225,0–16,+,,,,8,3,5,4,0,4,,,27
1971 (18),855,0–14,+,,,,9,2,1,8,1,2,,,25
1975 (19),"1,515",0–12,+,,,,3,12,3,3,2,1,,,23
1976 (20),267,1–12,+,,+,,4,6,1,1,1,3,,,14
1979 (21),"1,851",0–15,+,,,,7,1,,6,,2,,,21
1979 (22),554,0–12,+,,,,2,13,4,4,2,1,,,26
1979 (23),72,5–15,+,,,,1,28,,3,10,1,,,49
1984 (24),256,2–15,+,+,+,,5,,,4,2,3,2,,29
1987 (25),204,0–12,+,+,+,,6,1,5,0,3,2,,,19
1993 (26),99,0.2–16,+,+,,,14,19,3,0,2,0,,,36
1996 (27),181,0.3–2,+,+,,,12,6,1,7,,2,,,26
1999 (3),70,0.2–16,+,+,,+,26,61,1,,1,,4,,83
1999 (28),132,0.3–14,,+,,+,21,47,10,4,5,5,5,,82
2000 (29),84,0.7,,+,,+,54,10,8,0,0,13,0,,74
2002 (30),118,0–1.5,,,,+,53,21,,3,3,8,3,,74
2003 (4),179,0.1–17,+,+,,+,7,79,,1,2,,,2,88
aSampling period of at least 12 mo.,,,,,,,,,,,,,,,
