0,1,2,3,4,5,6,7,8,9,10
Dose,,,6 hrs,,24 hrs,48 hrs,72 hrs,96 hrs,168 hrs,216 hrs
,,0 Hrs,,,,,,,,
(𝑛 = 3/sex),,,(day 0),,(day 1),(day 2),(day 3),(day 4),(day 7),(day 9)
,,,,∗,∗,∗,,,,
,D,,,,,,,,,
,,0,1.9 ± 1.2,,3.4 ± 0.8,1.9 ± 1.2,0.6 ± 0.2,0.4 ± 0.1,0,0
0.65 mg/kg,,,,∗,∗,∗,,,∗,
,C,,,,,,,,,
,,0,1.2 ± 0.3,,1.8 ± 0.8,1.2 ± 0.3,0.7 ± 0.1,0.3 ± 0,2.3 ± 3,0
,,,,∗,∗,∗,∗,∗,,
,D,,,,,,,,,
,,0,1.9 ± 0.8,,5.4 ± 2.1,6.6 ± 2.4,5.1 ± 2.1,3.5 ± 1.2,,
1.35 mg/kg,,,,∗,∗,∗,∗,∗,No test,No test
,C,,,,,,,,,
,,0,4.9 ± 3.0,,9.6 ± 3.3,"7
.0 ± 1.5","7
.4 ± 5.3",1.6 ± 0.6,,
"Asterisk signifies clinically significant drug concentrations, defined as greater than 0.75 ng/mL of plasma buprenorphine.",,,,,,,,,,
,,,,,,(b),,,,
,,,,,,AUClast,,𝐶max,,𝑇max
Dose,,,Sex,,,,,,,
,,,,,,hr∗ng/mL,,ng/mL,,hr
,,,Male,,,154.2,,3.4,,24
0.65 mg/kg,,,,,,,,,,
,,,Female,,,99.7,,1.8,,24
,,,Male,,,459,,6.6,,48
1.35 mg/kg,,,,,,,,,,
,,,Female,,,517.2,,9.6,,24
