0,1,2,3,4,5,6,7,8,9,10,11
Table 1.  Distribution of virus and number of coinfections stratified by age group.,,,,,,,,,,,
VIRuS,,"NO. OF COINFECTIONS, NO. (%)",,,,,"TOTAL NO. OF INFECTIONS/AGE GROuP, MO",,,,
,TOTAL NO. OF,SINGLE,VIRuSES,BACTERIA,MIxED,MEAN AGE,0-6,6-12,12-24,24-60,60-112
,INFECTIONS,INFECTION,,,(VIRuS +,OF INFECTED,,,,,
,,,,,BACTERIA),"CHILDREN, y",,,,,
,NO. (%),NO. (%),,,,,,,,,
Adenovirus,81 (50),6 (3.7),41 (25.31),8 (4.94),26 (16.05),2.12,17,11,20,29,4
Influenza,74 (45.68),0 (0),54 (33.33),0 (0),20 (12.35),2.53,15,7,20,23,9
Rhinovirus,65 (40.12),3 (1.85),40 (24.69),7 (4.32),15 (9.26),1.96,18,10,15,17,5
SRV,26 (16.05),0 (0),23 (14.2),0 (0),3 (1.85),1.29,10,6,4,5,1
Enterovirus,41 (25.31),3 (1.85),31 (19.14),1 (0.62),6 (3.7),2.11,8,8,7,14,4
