0,1,2,3,4
Table I.,X-ray diffraction data collection and reﬁnement statistics,,,
,Ptal-N*01:01/HEV-1,Ptal-N*01:01/HEV-2,Ptal-N*01:01/HEV-1PVL,Ptal-N*01:01DMDL/HEV-1
Data collectiona,,,,
Space group,C2221,C2221,C2221,C2221
Cell parameters ( ˚A),"72.66, 86.93, 135.54","72.126, 87.871, 133.99","72.876, 86.44, 135.12","73.343, 80.198, 129.54"
Resolution,135.54–1.93,50.00–1.97,135.12–1.93,64.77–2.70
b,,,,
Rmerge,0.110 (0.603),0.213 (0.614),0.285 (0.628),0.431 (0.845)
Average I/s,16.0,2.6,19.0,5.8
Completeness (%),99.8 (100.0),75.0 (37.5),100.0 (100.0),99.5 (98.7)
N (observed),"466, 731","118, 661","203, 807","68, 066"
N (unique),"23, 392","12, 065","14, 538","9, 390"
Reﬁnea,,,,
Resolution,14.90–2.20,28.71–2.70,67.56–2.54,64.77–2.90
c,,,,
Rwork/Rfree,0.1844/0.2300,0.2153/0.2925,0.2178/0.2811,0.2129/0.2932
RMSD (bonds),0.01,0.00,0.00,0.00
RMSD (angles),0.91,0.65,0.66,0.53
Average B-factor,49.90,47.77,37.38,22.50
Ramachandran outliers (%),0.79,0.79,0.53,0.80
Ramachandran favored (%),95.51,96.58,94.20,95.48
Rotamer outliers,1.2,0.3,0.6,0.0
C-b outliers,0,0,0,0
Clashscore,6.89,8.31,8.52,5.92
aNumbers in parentheses indicate the highest resolution shell.,,,,
