0,1,2,3,4,5,6,7,8
Table 2  Virus detection,,,,,,,,
Virus,Nasopharynx,,,P value,Tonsil,,,P value
,"RV-A n 
 16",RV-B,"RV-C n 
 14",,RV-A,RV-B,RV-C,
,=,,=,,,,,
,,"n 
 12",,,"n 
 16","n 
 12","n 
 14",
,,=,,,=,=,=,
Adenovirus,1 (6.3%),2 (17%),0 (0%),0.27,3 (19%),0 (0%),1 (7.1%),0.36
Bocavirus-1,2 (13%),3 (25%),3 (21%),0.70,5 (31%),1 (8.3%),1 (7.1%),0.22
Coronavirus,3 (19%),0 (0%),0 (0%),0.10,1 (6.3%),0 (0%),0 (0%),1.0
Enterovirus,1 (6.3%),0 (0%),0 (0%),1.0,1 (6.3%),1 (8.3%),2 (14%),0.82
Influenza A or B virus,1 (6.3%),0 (0%),0 (0%),1.0,0 (0%),0 (0%),0 (0%),–
Metapneumovirus,0 (0%),0 (0%),0 (0%),–,1 (6.3%),0 (0%),0 (0%),1.0
Parainfluenza virus types 1–3,2 (13%),0 (0%),0 (0%),0.32,2 (13%),0 (0%),1 (7.1%),0.77
Respiratory syncytial virus,1 (6.3%),0 (0%),0 (0%),1.0,1 (6.3%),0 (0%),0 (0%),1.0
Rhinovirus,16 (100%),12 (100%),14 (100%),–,1 (6.3%),1 (8.3%),1 (7.1%),1.0
Number of positive viruses,,,,,,,,
1 virus,8 (50%),8 (67%),11 (79%),0.26,4 (25%),1 (8.3%),6 (43%),0.15
2 viruses,5 (31%),3 (25%),3 (21%),0.91,2 (13%),1 (8.3%),0 (0%),0.49
3 viruses,3 (19%),1 (8.3%),0 (0%),0.29,1 (6.3%),0 (0%),0 (0%),1.0
4 viruses,0 (0%),0 (0%),0 (0%),–,1 (6.3%),0 (0%),0 (0%),1.0
1 viruses,16 (100%),12 (100%),14 (100%),–,8 (50%),2 (17%),6 (43%),0.18
≥,,,,,,,,
2 viruses,8 (50%),4 (33%),3 (21%),0.26,4 (25%),1 (8.3%),0 (0%),0.11
≥,,,,,,,,
3 viruses,3 (19%),1 (8.3%),0 (0%),0.29,2 (13%),0 (0%),0 (0%),0.32
≥,,,,,,,,
4 viruses,0 (0%),0 (0%),0 (0%),–,1 (6.3%),0 (0%),0 (0%),1.0
≥,,,,,,,,
Data are expressed as number of subjects (%),,,,,,,,
