0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Demographic,,,,,,,,,,,,,,,
characteristics,,,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,,,
,male,36.9,1.00,,,,,,45.3,1.00,,,,,
,female,41.5,1.21,0.93-1.58,0.1,-,-,-,53.0,1.36,1.05-1.76,0.02,-,-,-
Age,,,,,,,,,,,,,,,
,18-29 years,35.1,1.00,,ns,-,-,-,28.9,1.00,,<0.001,1.00,,0.007
,30-49 years,36.2,1.05,0.67-1.64,,,,,44.2,1.95,1.23-3.08,,1.77,0.94-3.35,
,above 50 years,42.0,1.34,0.88-2.05,,,,,57.1,3.27,2.10-5.10,,2.61,1.39-4.90,
Ethnicity,,,,,,,,,,,,,,,
,Dutch,39.1,1.00,,ns,-,-,-,49.4,1.00,,ns,-,-,-
,non-Dutch,39.0,1.00,0.62-1.60,,,,,45.5,0.86,0.54-1.37,,,,
Education,,,,,,,,,,,,,,,
,low,37.8,1.00,,ns,-,-,-,56.3,1.00,,0.002,-,-,-
,intermediate,40.2,1.11,0.82-1.50,,,,,45.9,0.66,0.49-0.89,,,,
,high,39.3,1.07,0.76-1.49,,,,,42.6,0.58,0.42-0.80,,,,
Employment status,,,,,,,,,,,,,,,
,employed,38.9,1.00,,ns,-,-,-,41.5,1.00,,,,,
,unemployed/,39.4,1.02,0.78-1.33,,,,,58.9,2.02,1.55-2.63,<0.001,-,-,-
,retired,,,,,,,,,,,,,,
Marital status,,,,,,,,,,,,,,,
,single,39.4,1.00,,ns,-,-,-,41.7,1.00,,0.04,,,
,married/cohabited,39.3,0.99,0.71-1.39,,,,,50.1,1.40,1.01-1.96,,,,
,divorced/widowed,36.2,0.87,0.49-1.55,,,,,58.0,1.93,1.10-3.39,,-,-,-
,Children < 18 yrs,,,,,,,,,,,,,,
,in household,,,,,,,,,,,,,,
,yes,34.0,1.00,,,1.00,,,44.8,1.00,,,,,
,no,40.9,1.35,0.99-1.82,0.06,1.45,1.04-2.00,0.03,50.6,1.27,0.94-1.69,0.1,-,-,-
Knowledge score,,,,,,,,,,,,,,,
,<4,36.5,1.00,,,,,,47.0,1.00,,ns,-,-,-
,≥4,41.1,1.22,0.93-1.59,0.1,-,-,-,50.6,1.15,0.89-1.49,,,,
Perceived severity,,,,,,,,,,,,,,,
(summary score),,,,,,,,,,,,,,,
,low severity,34.0,1.00,,,,,,37.3,1.00,,,1.00,,
,high severity,44.5,1.56,1.20-2.03,0.001,-,-,-,61.7,2.71,2.08-3.53,<0.001,1.62,1.07-2.44,0.02
Perceived,,,,,,,,,,,,,,,
vulnerability,,,,,,,,,,,,,,,
(summary score),,,,,,,,,,,,,,,
,low vulnerability,35.4,1.00,,,,,,45.2,1.00,,,,,
,high vulnerability,47.5,1.66,1.25-2.20,<0.001,-,-,-,57.7,1.66,1.25-2.19,<0.001,-,-,-
Anxiety (summary,,,,,,,,,,,,,,,
score),,,,,,,,,,,,,,,
,low anxiety,30.6,1.00,,,1.00,,,39.5,1.00,,,1.00,,
,high anxiety,53.1,2.57,1.96-3.38,<0.001,1.93,1.43-2.61,<0.001,64.8,2.81,2.14-3.70,<0.001,2.22,1.44-3.42,<0.001
Perceived efficacy,,,,,,,,,,,,,,,
(summary score),,,,,,,,,,,,,,,
,low efficacy,32.8,1.00,,,,,,31.0,1.00,,,1.00,,
,high efficacy,46.4,1.77,1.36-2.31,<0.001,-,-,-,70.1,5.21,3.94-6.89,<0.001,2.57,1.77-3.74,<0.001
