0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 2: Confusion matrix. Fraction of samples of each phenotype class classified in any other class (row-wise mode). Non zero values,,,,,,,,,,,,,,,,,
,are highlighted in bold (see Methods).,,,,,,,,,,,,,,,,
Genot.,RGD,RED,REG,S144,V144,S139N S139T,,RRD,RGN,,RGV H146P,,RGG L147P,,S139G H146R,S139I,RGE1
RGD,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RED,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
REG,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
S144,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
V144,0.000,0.032,0.000,0.000,0.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
S139N 0.002,,0.000,0.000,0.000,0.000,0.993,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
S139T,0.000,0.000,0.000,0.000,0.000,0.016,0.983,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RRD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RGN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RGV,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.925,0.000,0.006,0.000,0.000,0.000,0.000,0.000
H146P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
RGG,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
L147P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
S139G,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
H146R,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.000,0.000,0.996,0.000,0.000
S139I,0.005,0.000,0.000,0.000,0.000,0.005,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.987,0.000
RGE1,0.001,0.000,0.000,0.000,0.000,0.000,0.068,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927
